verdict,text,part,label,title_results,text_results,text_and_title_results,whole_case_results
ME-16-11-63255-338,"קשירת קשר לביצוע פשע, עבירה לפי סעיף 499 (א)(1) לחוק העונשין התשל""ז-1977 (להלן: ""החוק"").",על אלה יוחסו לה העבירות הבאות:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"סחר בסם מסוכן, עבירה לפי סעיף 13 לפקודת הסמים המסוכנים (נוסח חדש), התשל""ג -1973 (להלן: ""הפקודה"").",על אלה יוחסו לה העבירות הבאות:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"החזקת סם שלא לצריכה עצמית, עבירה לפי סעיף 7(א)+(ג) לפקודה.",על אלה יוחסו לה העבירות הבאות:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"החזקת כלים המשמשים להכנת סם מסוכן או לצריכתו, עבירה לפי סעיף 10 לפקודה.",על אלה יוחסו לה העבירות הבאות:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"ביום 13.3.17 הודתה הנאשמת, במסגרת הסדר טיעון, בכתב האישום המתוקן, והורשעה על פי הודאתה.",על אלה יוחסו לה העבירות הבאות:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,"ההסדר לא כלל הסכמה לעניין העונש. עם זאת, הוסכם בין הצדדים כי יוגש תסקיר ביחס לנאשמת.",הסדר הטיעון,עובדות המקרה,עובדות המקרה,תסקיר שירות מבחן,עובדות המקרה,עובדות המקרה
ME-16-11-63255-338,מטעם שירות המבחן הוגשו 3 תסקירים אודות הנאשמת:,תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"תסקיר ראשון, מיום 5.7.17 – התייחס לנסיבותיה האישיות , בת 36, גרושה, מתגוררת בבית אמה, בעלת 12 שנות לימוד, שירות צבאי מלא לרבות שירות מילואים , תואר ראשון בניהול מלונאות ותיירות, עבודה במשרה ניהולית, ועוד. כן צוין כי לאחר שסבלה שנים רבות מבעיה רפואית מסוימת, עברה בשנים האחרונות 2 ניתוחים, וסבלה עקב כך מסיבוכים שונים, נמצאה במעקב רפואי, וטופלה במרפאת כאב . באשר לנישואיה בעבר, נטען מפי הנאשמת כי מערכת היחסים בינה לבין בעלה לשעבר אופיינה באלימות מילולית ופיזית קשה מצד בעלה כלפיה, אשר הובילה בסופו של דבר לגירושין. עוד ציינה הנאשמת כי עזבה את מקום עבודתה בשל תכנית לעבוד בחו""ל, אך תכנית זו לא יצאה אל הפועל, ובהמשך סייעה לאשתו של אביה בהתמודדות עם מחלת הסרטן. שירות המבחן התרשם כי לעניין זה הייתה השפעה על מצבה הרגשי, כאשר בד בבד התפרנסה הנאשמת מספר חודשים מעבודות מזדמנות וקצבת אבטלה. הנאשמת מסרה כי בתקופה זו ובהיותה בת 32 החלה משתמשת בסמים קנבואידים בעקבות השימוש של בעלה אותה עת בסמים מסוג זה. לאחר גירושיה, חלה נסיגה נוספת במצבה הרגשי, היא החלה משתמשת גם בקוקאין ויצרה קשר עם גורמים שוליים.",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"שירות המבחן ציין כי הנאשמת הופנתה לשירות עוד במסגרת הליך המעצר, וכי התרשם מתפקוד נורמטיבי במשך השנים, עד לנסיגה לשימוש בסמים ולמעורבות בקשרים שוליים בתחום הסמים, זאת כמענה לצרכים רגשיים וכלכליים. עוד התרשם שירות המבחן כי הנאשמת מבינה את הבעייתיות בהתנהלותה ומעוניינת להשתלב בתהליך טיפולי. באותה עת החלה ביוזמתה בטיפול במסגרת פרטית – ""התחלה חדשה"". לפיכך, המליץ שירות המבחן, במסגרת הליך המעצר, על הטלת צו פיקוח מעצר ושילוב הנאשמת במסלול של מרכז יום לנשים ביחידה לטיפול בנפגעי סמים – ""בית חוסן"" בנתניה. בית המשפט קיבל את ההמלצה והחל מיום 06.12.16 השתלבה הנאשמת במסגרת זו .",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"משיחה עם גורמי הטיפול בבית חוסן עלה כי הנאשמת מתמידה בתהליך הטיפולי, מגלה רצינות, מסירות, ואחריות רבה, לצד מוטיבציה משמעותית לשיקום ולטיפול. עוד צוין כי במסגרת אפיק התעסוקה ביחידה להתמכרויות החלה הנאשמת קורס תעסוקה טכני, וכי חזרה לתפקד בתחום התעסוקתי והכלכלי.",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"לבסוף, לאחר שעמד על גורמי הסיכון מחד, ועל הגורמים המגבירים את הסיכוי לשיקום מאידך, ציין שירות המבחן כי הוא מתרשם לחיוב ממצבה של הנאשמת, והמליץ על דחיית הדיון בשלושה חודשים לצורך בחינת המשך התקדמותה באפיק השיקומי.",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"תסקיר שני, מיום 25.10.17 – סוקר את ההליך הטיפולי, לצד שילוב הנאשמת באפיק תעסוקתי. התסקיר נחתם בהמלצה לדחות הדיון ב 3 חודשים נוספים לשם השלמת הטיפול ב""בית חוסן"".",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"תסקיר שלישי ואחרון, מיום 4.2.17 – מסכם את ההליך הטיפולי במילים הבאות: ""נוכח התרשמותנו החיובית ממנה, כשהגיעה להישגים משמעותיים, בין היתר, כאשר מסיימת את התהליך הטיפולי במסגרת מרכז היום ביחידה הטיפולית, ועתידה להמשיך הטיפול הפרטני ולא נפתחו כנגדה תיקי מב""ד חדשים מאז שהחלה בהליך השיקום, אנו סבורים כי יש לראות בה כמי שעברה תהליך שיקומי משמעותי"".",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"משכך, המליצה קצינת המבחן על העמדת הנאשמת בצו מבחן למשך שנה וחצי, לצד ביצוע של""צ בהיקף של 400 שעות.",תסקירי שירות המבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-16-11-63255-338,"מטעם הנאשמת הוגשה שורה ארוכה של מסמכים המעידים על תפקוד נורמטיבי במסלולים שונים של חייה: פעילות והדרכה בתנועת נוער, שירות צבאי מלא ובכלל זה שירות מילואים, חונכות ילדים מרבדי אוכלוסייה מעוטת יכולת, אישורי השכלה (תואר אקדמי), מסמכים רפואיים משנת 2012 אודות ניתוח, לרבות סיבוך אשר הצריך ניתוח נוסף, ואישור אודות הרשעת בעלה לשעבר בתקיפתה בחודש ינואר 2014 ואף חיובו בפיצוי.",ראיות לעונש,ראיות לעונש,ראיות לעונש,תסקיר שירות מבחן,ראיות לעונש,ראיות לעונש
ME-16-11-63255-338,"מטעם הנאשמת העידה אחותה. בדברים נרגשים היוצאים מן הלב הסבירה האחות את הרקע לביצוע העבירות, רקע אשר מצא ביטויו גם בתסקירי שירות המבחן. מפאת חשיבות הדברים אייחד להם פרק במסגרת הדיון וההכרעה.",ראיות לעונש,ראיות לעונש,ראיות לעונש,ראיות לעונש,ראיות לעונש,ראיות לעונש
ME-16-11-63255-338,"בפתח דבריה עמדה התובעת, ברוב הגינותה, על נתון עובדתי ולפיו הסמים הוחזקו על-ידי הנאשמת עבור מאהר.", טיעוני הצדדים לעונש בתמצית,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-16-11-63255-338,"במסגרת הטיעונים התייחסה התובעת להיות הנאשמת חוליה משמעותית בשרשרת הסם, אשר ניהלה וסחרה בסמים תמורת מגורים חינם. כן התייחסה לערך החברתי שנפגע ולמתחם הענישה אותו ביקשה לקבוע, בין 3 ל – 6 שנות מאסר בפועל, תוך מיקום הנאשמת בחלקו התחתון נוכח היעדר עבר פלילי ובהתחשב בהליך הטיפולי אותו עברה.", טיעוני הצדדים לעונש בתמצית,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-16-11-63255-338,"הסניגור ייחד רוב דבריו לנסיבות ולהליך השיקומי. לדבריו, שני הקושרים האחרים אשר רכשו את הסם לשם מכירתו לציבור, ניצלו אישה מבולבלת אשר בסופו של יום הרוויחה בחינם את שכר הדירה בה התגוררה, בסך כ-4,500 ₪. עוד התייחס לתקופות מעצר של ממש, מעצר בית מלא ומעצר בית עם ""חלונות איוורור"", הכל מיום 14.11.16. הנאשמת שיתפה פעולה בחקירתה במשטרה, אך בשל תקלה היא פגשה במאהר בהליך מעצר הימים והוא איים עליה בנוכחות השוטרים אשר דיווחו על כך והוא נחקר באזהרה. לעת הזאת, היא חוששת לחייה. הסניגור ציין כי מאהר, הדמות הדומיננטית בפרשה, נדון במסגרת הסדר טיעון ל – 3 שנות מאסר בפועל. את דבריו סיכם הסניגור בהפניה לפסיקה המעדיפה את השיקום על פני מתחם הענישה.", טיעוני הצדדים לעונש בתמצית,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-16-11-63255-338,"את מסכת הראיות לעונש חתמה הנאשמת. בבכי, בהתרגשות ובקול רועד, הביעה הנאשמת חרטה על מעשיה, וביקשה לאפשר לה להשלים את המהלך השיקומי.", טיעוני הצדדים לעונש בתמצית,טיעוני הצדדים,טיעוני הצדדים,ראיות לעונש,טיעוני הצדדים,טיעוני הצדדים
ME-16-11-63255-338,"הנאשמת הורשעה, בעקבות הודאתה, בביצוען של מספר עבירות סמים קשות, וזאת לאחר שקשרה קשר עם אחרים לבצע עבירות סמים, החזיקה בדירתה משקל אלקטרוני וסמים מסוכנים מסוגים שונים ובהיקפים משמעותיים, וסחרה בהם.",דיון והכרעה,דיון והכרעה,דיון והכרעה,עובדות המקרה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"עבירות אלה פגעו פגיעה משמעותית בערכים אשר עליהם ביקש המחוקק להגן, ובהם שמירה על שלום הציבור, והגנה עליו מפני הנזקים החברתיים הישירים והעקיפים הנגרמים כתוצאה משימוש בסמים מסוכנים. וכך נאמר מפי בית המשפט העליון ביחס לחומרתן הרבה של עבירות הסמים, ולנזק החברתי הטמון בהן:",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"""בית משפט זה עמד לא אחת על החומרה הרבה הטמונה בעבירות סחר והפצה של סמים, לא כל שכן סמים מסוכנים המוגדרים 'קשים' (ראו למשל: ע""פ 6747/11 מדינת ישראל נ' אבו רקיק (3.1.2013)), ועל הצורך להיאבק בהן באמצעות ענישה משמעותית ומרתיעה (ע""פ 9482/09 ביטון נ' מדינת ישראל, פסקה 24 (24.7.2011)). זאת, לאור הנזק הרב שהן מסבות לא אך למשתמשים הישירים בסם, אלא לחברה כולה, הסובלת מעבירות רכוש ואלימות מצד העוסקים בסחר ומלקוחותיהם"" (ע""פ 7952/15 מדינת ישראל נ' שץ (15.02.16)).",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"אשר לפסיקה הנוהגת, הצדדים הפנו לשורה ארוכה של פסקי דין, אשר יש בהם כדי לתמוך בענישה המוצעת על ידם. מבין אלו ואחרים, ראיתי להתייחס לפסקי הדין הבאים:",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"ע""פ 6277/14 משלטי נ' מדינת ישראל (02.02.15) – באותו עניין דובר במערער אשר הורשע, לאחר שהודה בתום שמיעת הראיות, בעבירות של החזקת סם שלא לצריכה עצמית, והחזקת כלים. זאת, לאחר שבדירתו נמצא סם מסוכן מסוג קוקאין במשקל של 51.36 גרם, לצד שקיות ניילון קטנות גזורות ומשקל אלקטרוני. בית המשפט המחוזי קבע כי המתחם נע בין 3 – 5 שנות מאסר, ובהתחשב בין היתר בעברו הפלילי של המערער, גזר עליו 4 שנות מאסר בפועל, לצד הפעלה במצטבר של שנת מאסר נוספת. בית המשפט העליון דחה את הערעור על העונש.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"ע""פ 2279/15 בורוחוב נ' מדינת ישראל (31.01.16) – באותו עניין דובר במערער אשר הורשע בשני אישומים. במסגרת האישום הראשון הורשע המערער בעבירה של החזקת סמים לצריכה עצמית. במסגרת האישום השני הורשע המערער בעבירה של החזקת כלים לצריכה עצמית, והחזקת סמים שלא לצריכה עצמית, וזאת לאחר שבביתו ובחצרו נמצאו 293 טבליות MDMA, מעל 50 גרם קוקאין, 17.60 גרם חשיש, ומשקל אלקטרוני. בית המשפט המחוזי קבע ביחס לאישום השני מתחם של 24 – 48 חודשי מאסר בפועל, ולבסוף, ביחס לשני האישומים ובהתחשב בין היתר בעברו הפלילי של המערער, גזר עליו 28 חודשי מאסר בפועל. בית המשפט העליון קבע כי העונש שנגזר הוא ראוי ומאוזן, ודחה את הערעור.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"ע""פ 1932/15 בן סעדון נ' מדינת ישראל (17.04.16) – באותו עניין דובר במערער אשר הורשע, על פי הודאתו, בעבירות של החזקת סם שלא לצריכה עצמית, השמדת ראיה, והפרעה לשוטר במילוי תפקידו. המערער החזיק בביתו סם מסוכן מסוג MDMA בכמות של 446 כדורים, סם מסוכן מסוג חשיש במשקל של 406.71 גרם, סם מסוכן מסוג קוקאין במשקל של 26.4 גרם, ושני משקלים אלקטרוניים. כשהגיעו שוטרים לבצע חיפוש בביתו, סירב לפתוח את הדלת, והשליך סמים לאסלה. בית המשפט המחוזי קבע כי מתחם העונש ההולם למעשי המערער נע בין 16 – 60 חודשי מאסר בפועל, ולבסוף גזר על המערער 42 חודשי מאסר בפועל, וזאת לאור עברו הפלילי והעובדה שבחר לעזוב מיוזמתו הליך טיפולי. בית המשפט העליון דחה את הערעור.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"באשר לנסיבות הקשורות בביצוע העבירה, נתתי דעתי לנסיבות הבאות:",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"מגוון הסמים, ומשקלם – בחזקתה של הנאשמת נמצאו סמים מסוכנים מ-5 סוגים שונים, ובמשקלים משמעותיים ביותר. כך למשל נתפסו בביתה של הנאשמת 1651 טבליות של סם מסוכן מסוג MDMA (לעניין הסכנות הכרוכות בסם זה ראו ת""פ (ב""ש) 8113/08 מדינת ישראל נ' בודרם (19.11.08)); 52.616 גרם קוקאין; 1,255.48 גרם קנבוס; 154 בולי LSD; 689.77 גרם חשיש, ועוד. אם כן, המדובר בכמות גדולה של מנות סם מסוכן מסוגים שונים אשר היו אמורים למצוא דרכם לרחובות ולסכן בצורה משמעותית ביותר את הציבור, כאשר בחלקם אף סחרה הנאשמת, כמתואר בכתב האישום (וראו לעניין זה סעיף 40ט(3) )לחוק, בעניין הנזק הצפוי מביצוע העבירה).",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"יחד עם זאת, נתתי דעתי גם לכך שבסופו של יום, נתפסה הכמות העיקרית של הסמים האמורים על ידי המשטרה, ואלו לא הגיעו ליעדם (וראו לעניין זה סעיף 40ט(4) לחוק, ביחס לנזק שאירע בפועל נוכח מעשה העבירה).",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"יצוין כי שתי עבירות הסחר בוצעו בתוך 24 שעות והניבו תמורה כוללת של סך 1,500 ₪.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"כמו כן יודגש, כמאמר התובעת, כי הסמים לא היו שייכים לנאשמת, אלא הוחזקו על ידה עבור מאהר.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"לאור האמור, אני סבור כי מתחם העונש ההולם נע בין 3 – 6 שנות מאסר, כפי שהציעה התביעה. יצוין כי בא כוח הנאשמת לא נדרש לשאלת המתחם, והסכים כי ברגיל ראויה הייתה הנאשמת למאסר בפועל, הגם שנמוך משמעותית מזה המבוקש על-ידי התביעה, במיוחד בהשוואה לעונש אותו קיבל המחולל והיוזם – מאהר.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"יחד עם זאת, בנסיבות המקרה עומד לזכותה של הנאשמת הליך השיקום המשמעותי אותו עברה, ומשכך, על המדוכה ניצבת בכל תוקפה השאלה האם הליך השיקום שעברה הנאשמת מטה את הכף לטובת חריגה ממתחם העונש ההולם.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"בין השיקולים הנשקלים בגדר שיקולי הענישה, נמנים מהותה של העבירה וחומרתה, וכן קיום מדיניות ענישה אחידה. לצד אלה, קיים קו מנחה בסוגיית הענישה, כי הענישה היא לעולם אינדיבידואלית (וראו לעניין זה ע""פ 1307/15 פלוני נ' מדינת ישראל (01/04/2015); ע""פ 8355/13 פלוני נ' מדינת ישראל (18/11/2014)).",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"סעיף 40ג(ב) לחוק קובע כי בית המשפט רשאי לחרוג ממתחם העונש ההולם, וזאת בשל שיקולי שיקום או הגנה על שלום הציבור לפי הוראת סעיפים 40ד' ו-40ה' לחוק .על פי סעיף 40ד(א) לחוק, לאחר קביעת מתחם העונש ההולם וככל שבית המשפט מצא כי הנאשם השתקם או כי יש סיכוי של ממש שישתקם, רשאי הוא לחרוג ממתחם העונש ההולם ולקבוע את עונשו בהתאם לשיקולי שיקומו, תוך מתן הוראות בדבר נקיטת אמצעים שיקומיים כלפי הנאשם, לרבות העמדתו בפיקוח שירות המבחן, לפי פקודת המבחן [נוסח חדש], התשכ""ט-1969.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"הנאשמת נעדרת עבר פלילי כלשהו, ותפקדה בכל רובד אפשרי באורח נורמטיבי ואף למעלה מכך, כמפורט בתסקירים ובמסמכים אשר הוגשו כראיות מטעם ההגנה. נסיבות ייחודיות ויוצאות דופן הוליכו אותה לתקופה משברית בחייה, בשלוש השנים שקדמו לביצוע העבירות, עד כי הייתה לטרף קל לשני האחרים שהפעילו אותה. קצינת המבחן עמדה בתסקיריה על הרקע למעורבות הנאשמת בחברה שולית וכפועל יוצא בביצוע העבירות, וכך גם אחותה של הנאשמת אשר סיפרה אודותיה: דימוי עצמי נמוך, מצב רפואי מורכב ,נישואין כושלים מלווים באלימות רצופה – האחות העידה כי הבחינה לא אחת בסימני חניקה על צוואר הנאשמת זאת לבד מהרשעת הבעל בתקיפתה – והתמכרות לסמים בהשראת הבעל עד אשר העתיקה מקום מגוריה לתל אביב לאחר גירושיה. מכאן, העמיקה התמכרותה לסמים קשים, מצבה הכלכלי התדרדר, ונסללה הדרך לניצולה על ידי אחרים. האחות לא הסתירה  דבר ועל כך יעידו המילים הבאות : ""המעצר הציל לה את החיים...עצרו את זה בזמן. אני פוחדת לחשוב איזה טלפון הייתי מקבלת מאבו כביר האחר (המכון לרפואה משפטית –צ.ק)"". המעצר, כדברי האחות, גדע את ההתדרדרות.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"שתי עבירות הסחר בוצעו, כאמור לעיל, בפרק זמן של 24 שעות, וכנגד תמורה כוללת של 1,500 ₪ אשר הועברו למפעיליה.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"לא נעלמו מעיניי הוראות סעיף 40ד(ב) לחוק, מהן עולה כי עיקרון השיקום נסוג במקרים בהם מעשה העבירה ומידת אשמו של הנאשם הינם בעלי חומרה יתרה אלא אם כן קיימות נסיבות מיוחדות ויוצאות דופן. העבירות והנסיבות החריגות לא הוגדרו על-ידי המחוקק. ראו לעניין זה ע""פ 5936/13 פלוני נ' מדינת ישראל (14/01/2015), שם נפסק כי ""ככל שהעבירה ונסיבותיה חמורות יותר – גובר הנטל על הטוען להקלה בשל שיקולי שיקום"".",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"מעשי הנאשמת, הגם שחמורים הם, לא נושאים אופי של ""חומרה יתרה"" וגם לא נטען כך מצד התביעה. מן העבר השני, נסיבות המקרה מיוחדות ויוצאות דופן: חלקה של הנאשמת ומקומה בהתארגנות הפלילית, גילה ונסיבותיה האישיות, כמפורט לעיל, וההליך השיקומי המשמעותי אותו עברה ובו מתעתדת להמשיך. לפיכך, אני סבור כי יש מקום להקל בעונש מטעמי שיקום, מבלי להקל ראש בחומרת העבירות.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"הנאשמת עשתה כברת דרך משמעותית בתוואי השיקומי שהחל ביוזמתה שלה. לא בכדי המליץ שירות המבחן על הטלת צו של""צ לצד תקופת מבחן. תפקודה הנורמטיבי, נסיבות חייה הקשות, וההליך השיקומי שעברה במשך תקופה ארוכה מאז שחרורה מן המעצר מפחיתים את הסיכון להישנות ביצוע עבירות דומות (על השיקולים אשר יצדיקו סטייה ממתחם העונש ההולם והעדפת הפן השיקומי ראו ע""פ 1903/13 חמודה עיאשה נ' מדינת ישראל (14/07/2013); ע""פ 5146/14 עדי אורן נ' מדינת ישראל (05/02/2015)) .לטעמי, הנאשמת עמדה באמות המידה שהתווה בית המשפט העליון לעניין חריגה ממתחם העונש בשל שיקולי שיקום.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"צו המבחן יעמיד התנהגות הנאשמת במבחן הזמן. ככל שהנאשמת תתמיד בדרכה החדשה, ייצאו הכל –היא והציבור – נשכרים. אם חלילה תמעד, ניתן יהיה לשוב ולגזור דינה בשנית, כאשר זאת הפעם יושת עליה מאסר בפועל משמעותי. גורלה ועתידה מצויים אפוא בידיה.",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,"קצינת המבחן סבורה כי יש להימנע מהטלת עונש מאסר ולו בדרך של עבודות שירות, לפי שענישה מסוג זה תביא לנסיגה במצב הנאשמת, היא תתקשה לפרנס עצמה, וכפועל יוצא ייפגע ההליך השיקומי. אינני סבור כי מלאכת הענישה נושאת אופי טכני של התוויות מחייבות. קרי, כי יש לגזור על הנאשמת בכל מקרה עונש שכותרתו מאסר בפועל , גם אם בדרך של עבודות שירות. סעיף 40ד(א) לחוק קובע כי בית המשפט ""רשאי לחרוג ממתחם העונש ההולם ולקבוע את עונשו של הנאשם לפי שיקולי שיקומו"" (ההדגשה הוספה – צ.ק).",דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-16-11-63255-338,מה טעם אפוא לקבוע תוואי עונשי-שיקומי ובה בעת לסכל אותו על-ידי גזירת עונש אשר לא יעלה בקנה אחד עם תוואי זה.,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
