verdict,עובדות המקרה,טיעוני הצדדים,דיון והכרעה,סך_חטיבות
ME-16-07-11720-448,1,1,1,3
ME-16-07-45175-891,1,0,0,1
ME-16-07-5968-552,1,0,1,2
ME-16-08-40649-520,1,1,1,3
ME-16-08-40994-384,1,1,0,2
ME-16-09-13718-390,1,1,1,3
ME-16-09-17780-5,1,1,1,3
ME-16-09-22679-134,1,1,1,3
ME-16-09-3745-668,1,0,0,1
ME-16-09-40168-168,1,1,1,3
ME-16-09-41280-129,1,1,1,3
ME-16-09-46497-823,0,1,1,2
ME-16-09-57353-163,1,0,0,1
ME-16-09-61392-22,1,1,1,3
ME-16-10-12469-872,1,1,1,3
ME-16-10-17316-528,1,0,1,2
ME-16-10-22080-364,1,1,1,3
ME-16-10-22609-304,1,1,1,3
ME-16-11-58033-22,1,0,1,2
ME-16-11-63255-338,1,1,1,3
ME-16-11-7970-598,1,1,1,3
ME-16-12-19902-389,1,1,1,3
ME-16-12-32002-824,1,0,0,1
ME-16-12-701-772,1,1,1,3
ME-17-01-15787-266,1,1,1,3
ME-17-01-47714-472,1,1,1,3
ME-17-01-49232-230,1,1,1,3
ME-17-01-59804-978,1,1,1,3
ME-17-01-59971-328,1,1,1,3
ME-17-01-620-279,1,1,1,3
ME-17-02-22611-377,1,1,1,3
ME-17-02-54648-901,1,1,1,3
ME-17-02-55287-84,1,1,1,3
ME-17-02-55366-691,1,1,1,3
ME-17-03-23642-491,1,1,1,3
ME-17-03-429-658,1,1,1,3
ME-17-03-63955-748,1,1,1,3
ME-17-04-17677-800,1,1,1,3
ME-17-04-49625-808,1,1,1,3
ME-17-05-45633-696,0,0,1,1
ME-17-06-50765-840,1,1,1,3
ME-17-06-54696-178,1,1,1,3
ME-17-06-66609-316,0,0,0,0
ME-17-07-4807-73,1,0,0,1
ME-17-07-62318-670,1,1,1,3
ME-17-08-3725-982,1,1,1,3
ME-17-08-47209-333,1,0,0,1
ME-17-09-2599-757,1,1,1,3
ME-17-09-31015-737,1,1,1,3
ME-17-09-31103-955,1,1,1,3
ME-17-09-40239-862,1,1,1,3
ME-17-10-12125-475,1,1,1,3
ME-17-10-55372-977,1,1,1,3
ME-17-10-58812-403,1,1,1,3
ME-17-11-37176-540,1,1,1,3
ME-17-11-48338-510,1,0,0,1
ME-17-11-55925-190,1,1,1,3
ME-17-11-7629-317,1,1,1,3
ME-17-12-20051-644,1,1,1,3
ME-17-12-22830-699,1,1,1,3
ME-17-12-26141-371,1,1,1,3
ME-18-01-22537-277,1,1,1,3
ME-18-01-27442-55,1,1,1,3
ME-18-01-27955-523,1,1,1,3
ME-18-01-42761-64,1,1,1,3
ME-18-01-45117-99,1,1,1,3
ME-18-01-58966-841,1,1,1,3
ME-18-01-68352-831,0,1,1,2
ME-18-01-73652-357,1,1,1,3
ME-18-02-26019-149,1,1,1,3
ME-18-02-47757-646,1,1,1,3
ME-18-02-5680-55,1,1,1,3
ME-18-02-5775-459,1,1,1,3
ME-18-02-58507-317,1,1,1,3
ME-18-03-12699-143,1,1,1,3
ME-18-03-12834-55,1,1,1,3
ME-18-03-13236-260,0,1,1,2
ME-18-03-19468-373,1,1,1,3
ME-18-03-2679-255,1,1,1,3
ME-18-03-67527-996,1,1,1,3
ME-18-04-16826-842,1,1,1,3
ME-18-04-22140-458,1,1,1,3
ME-18-04-27771-440,1,0,0,1
ME-18-04-46786-521,1,1,1,3
ME-18-05-22433-195,1,1,1,3
ME-18-05-35986-417,1,1,1,3
ME-18-05-37760-527,1,0,0,1
ME-18-05-39201-55,0,1,1,2
ME-18-05-69278-836,1,1,1,3
ME-18-06-5846-360,1,0,1,2
ME-18-06-5914-973,1,1,1,3
ME-18-06-6992-648,1,1,1,3
ME-18-06-6997-910,1,1,1,3
ME-18-07-17715-55,1,1,1,3
ME-18-07-21468-347,1,0,0,1
ME-18-07-61065-915,1,1,1,3
ME-18-07-67342-121,1,1,1,3
ME-18-08-39629-146,1,1,1,3
ME-18-08-58591-978,1,1,1,3
ME-18-08-58790-579,1,1,1,3
ME-18-08-8864-290,1,1,1,3
ME-18-09-15457-287,1,1,1,3
ME-18-09-34938-726,1,1,1,3
ME-18-09-809-412,0,1,1,2
ME-18-10-34117-55,1,1,1,3
ME-18-10-39573-985,1,1,1,3
ME-18-10-4760-145,1,1,1,3
ME-18-10-9532-55,1,1,1,3
ME-18-11-25458-476,1,1,1,3
ME-18-11-39299-907,0,1,1,2
ME-18-12-10603-619,0,1,1,2
ME-18-12-11220-22,1,1,1,3
ME-19-01-33728-657,1,1,1,3
ME-19-01-68942-383,1,1,1,3
ME-19-01-68958-71,1,1,1,3
ME-19-02-30408-748,1,1,1,3
ME-19-02-30538-483,1,1,1,3
ME-19-02-37958-133,1,1,1,3
ME-19-02-45480-398,1,1,1,3
ME-19-02-49034-375,1,0,0,1
ME-19-02-60154-39,1,1,1,3
ME-19-02-70401-748,1,1,1,3
ME-19-04-14488-104,1,1,1,3
ME-19-04-14578-148,1,1,1,3
ME-19-05-4039-534,1,1,1,3
ME-19-05-43983-206,1,1,1,3
ME-19-05-48706-200,1,0,0,1
ME-19-05-58605-646,1,1,1,3
ME-19-06-21477-871,1,0,1,2
ME-19-06-47908-765,1,1,1,3
ME-19-07-17667-476,1,1,1,3
ME-19-07-31000-323,1,1,0,2
ME-19-07-4435-107,1,1,1,3
ME-19-08-46823-817,1,1,1,3
ME-19-08-53463-354,1,1,1,3
ME-19-08-60444-184,1,1,1,3
ME-19-09-14313-285,1,1,1,3
ME-19-09-44129-985,1,1,1,3
ME-19-09-46366-214,1,1,1,3
ME-19-09-691-116,1,0,1,2
ME-19-10-25859-298,1,1,1,3
ME-19-10-28397-33,1,0,0,1
ME-19-10-40327-918,1,1,1,3
ME-19-10-53090-544,1,1,1,3
ME-19-10-9460-607,1,1,1,3
ME-19-11-15251-371,1,1,1,3
ME-19-11-2211-379,1,1,1,3
ME-19-11-40898-357,1,1,1,3
ME-19-11-43394-888,1,1,1,3
ME-19-11-54137-95,0,1,1,2
ME-19-11-57066-303,1,1,1,3
ME-19-11-58505-490,0,0,1,1
ME-19-11-58524-567,1,1,1,3
ME-19-12-19469-361,0,0,1,1
ME-19-12-74036-759,1,1,1,3
ME-20-01-18011-231,1,1,1,3
ME-20-01-37495-739,1,1,1,3
ME-20-01-62688-591,1,1,1,3
ME-20-01-802-429,1,1,1,3
ME-20-02-15744-900,0,1,1,2
ME-20-02-33338-797,0,0,0,0
ME-20-02-33541-702,1,1,1,3
ME-20-02-36724-606,1,1,1,3
ME-20-03-14935-33,1,0,0,1
ME-20-03-32815-77,1,1,1,3
ME-20-03-37454-552,1,1,1,3
ME-20-03-37474-269,1,1,1,3
ME-20-03-45012-661,1,1,1,3
ME-20-03-7408-681,1,0,1,2
ME-20-04-21991-639,1,1,1,3
ME-20-04-24431-257,1,1,1,3
ME-20-04-30039-364,1,1,1,3
ME-20-05-31925-723,1,1,1,3
ME-20-05-34787-929,1,1,1,3
ME-20-05-57813-98,1,0,1,2
ME-20-05-61158-999,1,1,1,3
ME-20-05-7696-114,1,1,1,3
ME-20-06-21536-265,1,1,1,3
ME-20-06-25530-126,1,1,1,3
ME-20-06-32581-715,1,1,1,3
ME-20-06-65828-230,1,1,1,3
ME-20-07-17252-33,0,0,0,0
ME-20-07-26839-33,1,0,0,1
ME-20-07-52883-159,1,1,1,3
ME-20-07-66437-927,1,1,1,3
ME-20-08-15059-493,1,1,1,3
ME-20-08-3750-402,1,1,1,3
ME-20-08-54368-67,1,0,1,2
ME-20-08-55855-520,1,1,0,2
ME-20-09-13242-430,1,0,0,1
ME-20-09-28847-705,1,1,1,3
ME-20-09-38450-545,1,1,1,3
ME-20-09-56824-185,1,1,1,3
ME-20-09-5778-327,1,1,1,3
ME-20-10-44540-291,1,1,1,3
ME-20-10-52504-680,1,1,1,3
ME-20-10-52589-717,1,1,1,3
ME-20-11-10810-678,1,1,1,3
ME-20-11-17642-314,1,1,1,3
ME-20-11-19005-77,1,1,1,3
ME-20-11-25254-44,1,0,0,1
ME-20-11-31419-820,1,1,1,3
ME-20-11-32956-101,1,1,1,3
ME-20-11-45195-706,1,1,1,3
ME-20-11-45388-530,1,0,0,1
ME-20-11-63172-979,0,1,1,2
ME-20-12-1338-335,1,1,1,3
ME-20-12-38578-563,1,1,1,3
ME-20-12-6678-48,1,1,1,3
ME-20-12-73906-693,1,1,1,3
ME-21-01-28544-476,1,1,1,3
ME-21-01-33439-492,1,1,1,3
ME-21-01-35389-997,1,1,1,3
ME-21-01-51797-636,1,1,1,3
ME-21-01-55489-537,1,1,1,3
ME-21-02-27735-297,1,1,1,3
ME-21-02-30580-27,1,1,1,3
ME-21-02-30637-285,1,1,1,3
ME-21-02-36823-104,1,1,1,3
ME-21-02-39513-40,1,1,1,3
ME-21-02-46604-513,1,1,1,3
ME-21-02-46967-370,1,1,1,3
ME-21-02-9264-706,1,1,1,3
ME-21-02-9270-912,1,1,1,3
ME-21-03-37764-966,1,1,1,3
ME-21-03-54460-987,0,1,1,2
ME-21-03-60183-144,1,1,1,3
ME-21-04-23190-591,1,1,1,3
ME-21-04-26204-51,1,1,1,3
ME-21-04-31842-520,1,1,1,3
ME-21-04-63287-31,1,1,1,3
ME-21-05-16015-526,1,1,1,3
ME-21-05-19464-959,1,1,1,3
ME-21-05-29731-804,1,1,1,3
ME-21-05-686-354,1,1,1,3
ME-21-06-14284-569,1,1,1,3
ME-21-06-58603-878,1,1,1,3
ME-21-07-29918-976,1,0,0,1
ME-21-07-43383-167,1,1,1,3
ME-21-07-51899-386,1,1,1,3
ME-21-07-63018-12,0,1,1,2
ME-21-07-63185-208,1,1,1,3
ME-21-08-16097-580,1,1,1,3
ME-21-08-32243-573,1,1,1,3
ME-21-08-7271-159,1,1,1,3
ME-21-09-11199-485,1,1,1,3
ME-21-09-11446-724,1,1,1,3
ME-21-09-32835-590,1,1,1,3
ME-21-09-38706-388,1,1,1,3
ME-21-09-5649-413,1,1,1,3
ME-21-09-6574-895,1,1,1,3
ME-21-09-6681-11,1,1,1,3
ME-21-09-8066-499,1,1,1,3
ME-21-10-12612-215,1,1,1,3
ME-21-10-18479-921,1,1,1,3
ME-21-10-20354-306,1,1,1,3
ME-21-10-39230-833,1,1,1,3
ME-21-10-61406-47,1,0,0,1
ME-21-10-6145-357,1,1,1,3
ME-21-10-65963-433,1,1,1,3
ME-21-10-68782-500,1,1,1,3
ME-21-10-71333-899,1,1,1,3
ME-21-11-1136-648,1,1,1,3
ME-21-11-21086-426,0,1,1,2
ME-21-11-34197-517,1,1,1,3
ME-21-11-35998-405,1,1,1,3
ME-21-11-50970-193,1,1,1,3
ME-21-11-60270-493,1,1,1,3
ME-21-11-7874-146,1,1,1,3
ME-21-12-10812-564,1,1,1,3
ME-21-12-15965-239,1,1,1,3
ME-21-12-23062-472,1,1,1,3
ME-21-12-35104-361,1,1,1,3
ME-21-12-41830-648,1,1,1,3
ME-21-12-42162-424,1,1,1,3
ME-22-01-17033-293,1,1,1,3
ME-22-01-20197-887,1,1,1,3
ME-22-01-41687-939,1,1,1,3
ME-22-01-45199-299,1,1,1,3
ME-22-01-46978-847,0,1,1,2
ME-22-01-47042-277,0,1,1,2
ME-22-01-63413-857,1,1,1,3
ME-22-02-33916-601,1,1,1,3
ME-22-02-40082-144,1,1,1,3
ME-22-02-880-250,1,1,1,3
ME-22-03-26126-566,1,1,1,3
ME-22-03-30003-679,1,1,1,3
ME-22-03-60295-774,1,1,1,3
ME-22-03-61202-214,1,0,1,2
ME-22-03-66385-129,1,1,1,3
ME-22-03-6944-166,1,1,1,3
ME-22-04-1187-280,1,1,1,3
ME-22-04-20638-501,1,1,1,3
ME-22-04-36475-213,1,1,1,3
ME-22-04-5076-981,1,1,1,3
ME-22-04-7867-732,1,1,1,3
ME-22-05-27544-102,1,1,1,3
ME-22-05-41870-398,1,1,1,3
ME-22-05-42156-571,1,1,1,3
ME-22-05-4488-105,1,1,1,3
ME-22-05-57177-26,1,1,1,3
ME-22-05-716-996,1,1,1,3
ME-22-06-24551-709,1,1,1,3
ME-22-06-54208-991,1,1,1,3
ME-22-07-25594-707,1,1,1,3
ME-22-07-32175-327,0,1,1,2
ME-22-07-4658-964,1,0,1,2
ME-22-07-46700-177,1,1,1,3
ME-22-07-53625-139,1,0,0,1
ME-22-07-61841-720,1,1,1,3
ME-22-07-6985-453,1,1,1,3
ME-22-08-10639-776,1,1,1,3
ME-22-08-1352-464,1,1,1,3
ME-22-08-46701-676,1,1,1,3
ME-22-09-17262-895,1,1,1,3
ME-22-09-21471-718,1,1,1,3
ME-22-09-24257-671,1,1,1,3
ME-22-09-4261-573,1,1,1,3
ME-22-10-16020-86,1,1,1,3
ME-22-10-31812-11,1,1,1,3
ME-22-10-36801-783,1,1,1,3
ME-22-11-1990-79,1,1,1,3
ME-22-11-24758-835,1,1,1,3
ME-22-11-34635-501,1,1,1,3
ME-22-11-8988-677,1,1,1,3
ME-22-12-47987-640,1,1,1,3
ME-22-12-802-689,1,1,1,3
ME-23-01-46786-206,1,1,1,3
ME-23-01-53640-602,1,1,1,3
ME-23-01-69612-838,1,1,1,3
ME-23-02-35569-441,1,1,1,3
ME-23-03-50850-315,1,0,0,1
ME-23-03-53035-811,1,1,1,3
ME-23-03-5687-959,1,1,1,3
ME-23-03-58193-751,1,1,1,3
ME-23-04-12158-504,1,1,1,3
ME-23-04-21291-874,1,1,1,3
ME-23-04-8444-574,1,1,1,3
ME-23-04-8639-766,1,1,1,3
ME-23-05-28315-761,1,1,1,3
ME-23-05-49875-541,0,1,1,2
ME-23-05-52567-993,1,1,1,3
ME-23-05-76300-44,1,1,1,3
ME-23-05-8203-115,1,1,1,3
ME-23-06-24350-756,1,1,1,3
ME-23-06-51515-807,0,1,1,2
ME-23-07-11090-560,1,1,1,3
ME-23-07-37454-92,1,1,1,3
ME-23-08-41833-827,1,1,1,3
ME-23-08-42114-713,1,0,0,1
ME-23-08-42361-595,1,1,1,3
ME-23-08-46221-96,1,1,1,3
ME-23-09-30310-430,1,1,1,3
ME-23-09-46939-375,1,1,1,3
ME-23-11-21137-454,1,1,1,3
ME-23-11-7212-22,1,1,1,3
ME-23-12-13839-255,1,0,0,1
ME-23-12-14553-571,1,1,1,3
ME-23-12-32305-711,1,1,1,3
ME-23-12-42253-980,1,1,1,3
ME-24-01-16651-270,1,1,1,3
ME-24-01-42808-639,1,1,1,3
ME-24-01-49376-716,1,1,1,3
ME-24-01-71101-124,1,1,1,3
ME-24-02-55717-411,1,1,1,3
ME-24-02-56431-155,1,1,1,3
ME-24-03-1484-918,1,1,1,3
ME-24-03-62673-835,1,1,1,3
ME-24-03-69004-489,0,1,1,2
ME-24-05-67646-258,1,1,0,2
ME-24-06-51649-532,1,0,0,1
ME-24-07-75514-165,1,1,1,3
ME-24-08-41832-717,1,1,1,3
ME-24-09-12265-410,1,1,1,3
ME-24-10-3170-487,1,1,1,3
SH-09-12-13504-344,1,1,1,3
SH-09-12-24777-556,1,0,1,2
SH-09-12-34111-51,1,0,0,1
SH-10-01-26981-416,1,0,0,1
SH-10-02-45672-321,1,0,0,1
SH-10-03-11072-990,1,0,0,1
SH-10-03-12451-963,1,0,0,1
SH-10-03-38312-864,0,1,1,2
SH-10-03-49406-516,1,1,1,3
SH-10-04-31912-213,1,0,0,1
SH-10-04-5594-657,1,0,0,1
SH-10-06-13054-638,1,1,1,3
SH-10-06-17038-861,1,0,0,1
SH-10-06-30050-354,1,1,1,3
SH-10-07-1219-660,1,0,0,1
SH-10-07-12856-49,1,0,1,2
SH-10-08-33651-656,1,0,0,1
SH-10-08-49680-384,1,0,0,1
SH-10-09-33454-81,1,1,1,3
SH-10-09-6738-61445,1,1,1,3
SH-10-10-12585-949,1,0,1,2
SH-10-10-41105-418,1,0,0,1
SH-10-10-52399-14,1,0,0,1
SH-10-10-58840-818,1,0,0,1
SH-10-10-62153-264,1,0,0,1
SH-10-10-63038-28,1,0,0,1
SH-10-11-1897-286,1,0,0,1
SH-10-11-53150-3,1,0,0,1
SH-10-11-58167-79,1,0,0,1
SH-10-12-27617-806,1,0,0,1
SH-10-12-31127-69,1,0,0,1
SH-10-12-3158-571,1,1,1,3
SH-10-12-49367-553,1,0,0,1
SH-11-01-18193-804,0,0,0,0
SH-11-01-34303-22,0,1,1,2
SH-11-01-41699-959,1,0,0,1
SH-11-02-21775-588,1,1,1,3
SH-11-02-45698-498,0,1,0,1
SH-11-02-53541-251,0,0,1,1
SH-11-03-10971-500,0,1,1,2
SH-11-03-1176-875,1,1,0,2
SH-11-03-17468-188,0,0,1,1
SH-11-03-25881-810,1,0,1,2
SH-11-03-26207-960,1,1,1,3
SH-11-03-35612-786,1,0,0,1
SH-11-03-35661-12,1,0,0,1
SH-11-04-12276-771,1,0,0,1
SH-11-04-25792-507,1,0,0,1
SH-11-04-27605-980,1,1,1,3
SH-11-04-30433-554,1,1,1,3
SH-11-04-32779-495,1,0,0,1
SH-11-05-1430-169,1,0,0,1
SH-11-05-18134-115,1,0,0,1
SH-11-05-29901-791,1,0,0,1
SH-11-07-34358-3,1,0,0,1
SH-11-07-49112-917,1,0,0,1
SH-11-07-49856-170,1,1,1,3
SH-11-08-1834-260,1,0,0,1
SH-11-08-36684-511,1,0,0,1
SH-11-08-8108-613,1,0,1,2
SH-11-09-11303-374,1,0,0,1
SH-11-09-19296-939,0,0,1,1
SH-11-09-21126-822,1,0,0,1
SH-11-09-49441-236,1,0,0,1
SH-11-10-23520-216,1,1,1,3
SH-11-10-40152-497,1,0,0,1
SH-11-11-16240-704,1,1,1,3
SH-11-11-28250-761,0,1,1,2
SH-11-11-3781-985,1,1,1,3
SH-11-11-51582-291,0,0,0,0
SH-11-11-5603-835,1,0,0,1
SH-11-11-8085-794,1,1,1,3
SH-11-12-24068-952,1,0,0,1
SH-11-12-30494-728,1,1,1,3
SH-11-12-37734-111,1,0,0,1
SH-11-12-44087-616,1,0,0,1
SH-11-12-50621-284,1,1,1,3
SH-11-12-9665-968,1,0,0,1
SH-12-01-11789-932,1,0,0,1
SH-12-01-15319-354,1,0,0,1
SH-12-01-34058-409,0,0,1,1
SH-12-01-34757-55,1,0,1,2
SH-12-01-34974-997,1,1,1,3
SH-12-01-45974-838,1,0,0,1
SH-12-01-51123-1491,1,1,1,3
SH-12-02-15696-297,1,0,0,1
SH-12-02-16471-165,1,0,1,2
SH-12-02-17515-494,1,0,0,1
SH-12-02-24428-303,1,0,0,1
SH-12-02-33537-987,1,0,0,1
SH-12-02-36469-198,1,1,1,3
SH-12-02-42137-358,1,0,0,1
SH-12-02-46052-86,1,1,1,3
SH-12-02-47430-749,1,0,0,1
SH-12-02-8202-950,1,0,0,1
SH-12-03-11439-97,1,1,1,3
SH-12-03-12091-263,1,0,0,1
SH-12-03-26039-442,1,1,1,3
SH-12-03-30005-872,1,0,0,1
SH-12-03-30312-636,1,0,0,1
SH-12-03-31971-140,1,0,0,1
SH-12-03-42397-33,1,1,1,3
SH-12-03-7797-485,1,0,1,2
SH-12-04-13432-519,1,1,0,2
SH-12-04-26743-436,1,0,0,1
SH-12-04-31798-550,0,1,0,1
SH-12-04-33451-715,1,0,0,1
SH-12-04-35695-606,0,0,1,1
SH-12-04-36376-50,1,0,0,1
SH-12-04-39936-584,1,0,1,2
SH-12-04-41467-167,1,0,0,1
SH-12-04-42234-728,1,0,0,1
SH-12-04-42673-714,1,0,0,1
SH-12-04-7602-216,1,0,0,1
SH-12-05-19965-657,1,1,1,3
SH-12-05-20585-55,1,1,1,3
SH-12-05-22619-975,1,0,1,2
SH-12-05-26436-911,1,1,1,3
SH-12-05-30762-105,1,0,1,2
SH-12-05-48037-604,1,0,0,1
SH-12-05-49123-155,1,1,1,3
SH-12-05-51933-6,1,1,0,2
SH-12-05-54307-542,1,1,1,3
SH-12-05-8575-297,0,1,1,2
SH-12-06-11069-915,1,0,0,1
SH-12-06-11168-387,1,0,0,1
SH-12-06-15560-253,0,1,1,2
SH-12-06-18985-672,1,1,1,3
SH-12-06-2186-662,0,0,1,1
SH-12-06-37340-557,0,1,1,2
SH-12-06-4439-700,1,0,0,1
SH-12-06-52992-289,1,0,0,1
SH-12-06-53481-545,1,1,1,3
SH-12-06-9056-960,1,0,0,1
SH-12-07-20764-448,1,1,1,3
SH-12-07-20928-974,1,1,1,3
SH-12-07-22464-933,1,0,1,2
SH-12-07-27444-59,1,0,0,1
SH-12-07-27924-250,1,0,0,1
SH-12-07-28552-896,1,0,0,1
SH-12-07-33759-801,1,0,0,1
SH-12-07-37055-836,1,0,0,1
SH-12-07-48976-737,1,1,1,3
SH-12-07-50222-572,1,0,0,1
SH-12-07-54370-255,1,0,0,1
SH-12-07-54653-613,1,0,0,1
SH-12-07-8614-845,1,0,0,1
SH-12-07-9346-564,1,1,1,3
SH-12-08-14226-51,1,0,1,2
SH-12-08-16749-145,1,1,1,3
SH-12-08-1789-228,1,0,0,1
SH-12-08-1793-958,1,0,0,1
SH-12-08-1960-499,1,0,0,1
SH-12-08-20414-383,1,1,1,3
SH-12-08-2084-765,1,0,0,1
SH-12-08-2090-743,1,0,0,1
SH-12-08-22263-161,1,0,0,1
SH-12-08-3001-453,1,1,1,3
SH-12-08-8400-395,1,0,0,1
SH-12-08-8495-162,1,0,0,1
SH-12-08-8696-33,1,1,1,3
SH-12-09-19601-176,1,0,1,2
SH-12-09-26025-766,1,0,0,1
SH-12-09-3107-664,1,1,1,3
SH-12-09-4579-470,1,0,0,1
SH-12-10-16312-832,1,1,1,3
SH-12-10-19487-863,1,1,1,3
SH-12-10-24440-183,1,0,0,1
SH-12-10-25878-949,1,0,0,1
SH-12-10-26940-161,1,0,0,1
SH-12-10-27214-600,1,0,0,1
SH-12-10-33210-535,1,0,0,1
SH-12-10-35265-349,1,1,1,3
SH-12-10-36558-818,1,0,0,1
SH-12-10-43167-137,1,1,1,3
SH-12-10-43175-663,1,1,1,3
SH-12-10-43375-704,1,0,1,2
SH-12-10-46819-115,1,0,0,1
SH-12-10-48535-846,1,1,1,3
SH-12-10-53862-16,0,0,0,0
SH-12-10-55565-757,1,0,1,2
SH-12-11-1318-151,1,1,1,3
SH-12-11-21388-619,1,1,1,3
SH-12-11-24015-509,1,1,1,3
SH-12-11-24156-385,1,1,0,2
