ME-20-11-39675-821,"כל אחת מהעבירות האמורות יכולה להשתכלל בהקשר לכלי נשק בודד. וכאן מדובר ב-60 אקדחים שנתפסו ועוד כמות נכבדה של כלי נשק שנמכרו, שההכנסות ממכירתם העומדות על כ-700,000 ₪ יכולות ללמד על מספרם.",	אישום שלישי	
ME-20-11-39675-821,"בהתחשב בחומרת המעשים, בפוטנציאל הנזק הגלום בכל אחד מכלי הנשק שיובאו, בפוטנציאל הנזק העצום הטמון במספר הכולל של כלי הנשק שיובאו, ובנזק שנגרם ממכירת כלי הנשק – שהיקפו וטיבו לא יתבררו לעולם - העונש המתאים למעשי הנאשם מבחינת שיקולי הגמול וההרתעה נע סביב 20 שנות מאסר בפועל.",	אישום שלישי	
ME-20-11-39675-821,"אלא שכאן, ברקע הסדר הטיעון עומדים שיקולים הקשורים לחומר מודיעיני חסוי, שבנסיבות יש להניח שהמדובר בעניינים חשובים ורגישים; בית המשפט העליון שבחן את החומר החסוי במסגרת עתירה לגילוי ראיה חסויה ציין שאנשים אחרים הם שעמדו בראש ההברחה ושלמידע זה עשויה להיות השלכה לענין העונש; ובעקבות זאת כתב האישום המתוקן מציין כעובדה, שאנשים אחרים עמדו בראש הקשר לייבוא כלי הנשק; ומעורבים שונים בפרשה לא הובאו לדין.",	אישום שלישי	
ME-20-11-39675-821,"שותפיו של הנאשם באישום הראשון, מהדי ושריף, נדונו על חלקם בפרשה ל- 8 שנות מאסר בפועל, מאסר על תנאי וקנס בסך 25,000 ₪. ורג'א, שהיה מעורב באישום השלישי,  נידון ל- 4.5 שנות מאסר בפועל, מאסר על תנאי וקנס בסך 15,000 ₪.",	אישום שלישי	
ME-20-11-39675-821,"בטרם הודאת הנאשם, בית המשפט שמע את מרבית ראיות התביעה וההליכים התמשכו שלא לצורך. אולם, הנאשם היה מיוצג ואין לזקוף לחובתו את ההתנהלות הדיונית של ההגנה, ובסופו של יום הנאשם הודה במסגרת הסדר טיעון הכולל הסכמה משותפת למרכיב המאסר בעונש.",	אישום שלישי	
ME-20-11-39675-821,"בנוסף, הנאשם בן 30, נשוי ואב לארבעה ילדים קטינים, ועברו הפלילי אינו מכביד.",	אישום שלישי	
ME-20-11-39675-821,"נוכח האמור, אני מקבל את המלצת הצדדים בנוגע לעונש המאסר של הנאשם.",	אישום שלישי	
ME-20-11-39675-821,"אשר לקנס הכספי. העבירות שהנאשם ביצע נעברו לשם הפקת רווח כספי. בכתב האישום מצוין שהאקדחים שנמכרו נמכרו במחיר של כ-30 אלף ₪ לאקדח. מכאן ששווי 60 האקדחים שנתפסו עומד על סדר גודל של כמיליון ושמונה מאות אלף ₪. ובנוסף, הנאשם והמעורבים האחרים הפיקו ממכירת האקדחים שמכרו הכנסות בסך של כ-700,000 ₪. כמובן שלא כל הסכום הזה הוא רווח ושלצורך הערכת הרווח של הנאשם יש להתחשב במחיר ששולם לרכישת כלי הנשק ולחלק שקיבלו המעורבים האחרים.",	אישום שלישי	
ME-20-11-39675-821,"בהקשר זה יצוין, שסעיף 63 בחוק העונשין קובע כי בשל עבירה שנתכוון בה הנאשם לגרום נזק ממון לאחר או להשיג טובת הנאה לעצמו או לאחר, רשאי בית המשפט להטיל על הנאשם קנס פי ארבעה משווים של הנזק שנגרם או של טובת ההנאה שהושגה על ידי העבירה.",	אישום שלישי	
ME-20-11-39675-821,"בקביעת סכום הקנס יש להתחשב בשווי הרכב של הנאשם שחולט לטובת המדינה, העומד על כ- 154,000 ₪. וביכולת התשלום של הנאשם, הגם שמקום שבו נאשם הפיק בפועל רווח מהעבירה שביצע יש לתת למרכיב זה משקל קטן יותר.  וכן יש לקחת בחשבון את האפשרות שהנאשם יידרש לשלם לשלטונות המס סכומי כסף הנגזרים מההכנסות שהפיק ממכירות האקדחים המתוארות בכתב האישום.",	אישום שלישי	
ME-20-11-39675-821,"נוכח כל האמור, אני גוזר על הנאשם את העונשים הבאים:",	אישום שלישי	
ME-20-11-39675-821,"מאסר בפועל למשך 11 שנים ותשעה חודשים, בניכוי ימי מעצרו.",	אישום שלישי	
ME-20-11-39675-821,"12 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור עבירת נשק המסווגת כפשע.",	אישום שלישי	
ME-20-11-39675-821,"רכב איסוזו מ""ר 6621734 יחולט לטובת אוצר המדינה.",	אישום שלישי	
ME-20-11-39675-821,"קנס בסך 75,000 ₪ או עשרה חודשי מאסר תחתיו.",	אישום שלישי	
