part_number,verdict,text,part,predicted_category
11,SH-23-02-41988-839,"אשר למדיניות הענישה הנוהגת, זו לרוב מחמירה ומסתיימת בנסיבות דומות במעצר או בעבודות שירות.",קביעת מתחם הענישה,דיון והכרעה
12,SH-23-02-41988-839,"רע""פ 1349/22 מחאמיד נ' מ""י (מיום 28.2.2022( - הנאשם הורשע בעבירות של החזקת סמים שלא לצריכה עצמית, הפרעה לשוטר ועבירות נהיגה מסוכנות. הוא החזיק ברכבו 87 יחידות MDMA ומזומן בסכום ניכר. הוא נדון ל-7 חודשי מאסר.",קביעת מתחם הענישה,דיון והכרעה
13,SH-23-02-41988-839,"עפ""ג (באר שבע) גוסיינוב נ' מ""י (מיום 12.1.2022) – אדם שהחזיק 13 גרם קנביס, 90 גרם חשיש ו-12 גרם MDMA  וכן סחר בגרמים בודדים של קנביס נדון ל-12 חודשי מאסר על בסיס מתחם שבין 6 ל-18 חודשי מאסר בעבירות שלא להחזקה עצמית, ומס' חודשים עד שנת מאסר בעבירות הסחר.",קביעת מתחם הענישה,דיון והכרעה
14,SH-23-02-41988-839,"רע""פ 1473/18 אוחיון נ' מ""י (מיום 22.4.2018) – נאשם שהחזיק בביתו 4 יחידות קוקאין במשקל 4 גרם נדון לחודשיים עבודות שירות על בסיס מתחם שבין 6 ל-12 חודשי מאסר.",קביעת מתחם הענישה,דיון והכרעה
15,SH-23-02-41988-839,"עפ""ג (ירושלים) 39067-10-19 מ""י נ' זקן (מיום 19.2.2020) – הנאשם ייבא 330 מיליליטר קטמין אותו הבריח לארץ. בתיק זה קבעתי מתחם שבין עבודות שירות ל-7 חודשי מאסר אך חרגתי מהמתחם והטלתי 460 ש' של""ץ בשל שיקולי שיקום. בית המשפט המחוזי אישר את הכרעתי על כל חלקיה.",קביעת מתחם הענישה,דיון והכרעה
16,SH-23-02-41988-839,"מתחם הענישה – לפיכך, מתחם הענישה צריך לעמוד על מאסר קצר ועד 10 חודשי מאסר שיכול ויבוצעו בעבודות שירות.",קביעת מתחם הענישה,דיון והכרעה
17,SH-23-02-41988-839,"ניתן  לתת משקל לנסיבות הבאות שאינן קשורות בביצוע העבירה, במסגרת גזירת העונש בתוך המתחם: מדובר בנאשמת צעירה ללא עבר פלילי שקיבלה אחריות מלאה למעשיה, שיתפה פעולה וממשיכה לשתף פעולה עם שירות המבחן באופן מרשים, היא עובדת לפרנסתה בשתי עבודות ועליה להתמודד עם חובות כלכליים, כששירות המבחן הציע את סיועו בהכוונה מקצועית בהקשר זה, דבר משמעותי לעתידה בטווח הקרוב והבינוני. מעבר לכך, אין מחלוקת בין הצדדים כי ההתנהלות הכלכלית השגויה היא שהניעה את הנאשמת לבצע את העבירה, ומשעה שעניין זה מטופל, הרי שיש בו להפחית משמעותית את הסיכון לביצוע עבירות על רקע זה.","נסיבות שאינן קשורות בביצוע העבירה, והחריגה ממתחם העונש מטעמי שיקום",דיון והכרעה
18,SH-23-02-41988-839,"יש לתת משקל לרקע החרדי ממנו מגיעה הנאשמת ולהשפעת המעשה עליה בנסיבות אלה. אין מדובר בחזון נפרץ, בוודאי כאשר הנאשמת הייתה במעצר ימים לא קצרים. בהמשך לא פתחה תיקים חדשים ולא הפרה תנאים. לטעמי מתקיימים בנאשמת הוראות סעיף 40ד' לחוק העונשין שעניינן שיקום. הנאשמת באופן התנהלותה בהליך זה מול בית המשפט ומול שירות המבחן הוכיחה פוטנציאל שיקום משמעותי, ויש לבכר, בנסיבות אלו, את האינטרס האישי על-פני הציבורי, ולאפשר לה להשלים את המהלך הטיפולי שבו היא נמצאת בתחומי הלימודים, התעסוקה וההתנהלות הכלכלית. לכן העונש ההולם הוא זה שהמליץ עליו שירות המבחן בנסיבות העניין.","נסיבות שאינן קשורות בביצוע העבירה, והחריגה ממתחם העונש מטעמי שיקום",דיון והכרעה
19,SH-23-02-41988-839,"לפיכך, אני מחליט לגזור על הנאשם את העונשים הבאים:",גזירת הדין,דיון והכרעה
20,SH-23-02-41988-839,"6 חודשי מאסר על-תנאי, שלא תעבור הנאשמת בתוך 3 שנים מהיום כל עבירת סמים מסוג פשע;",גזירת הדין,דיון והכרעה
21,SH-23-02-41988-839,"קנס בסך 2,000 ₪, או 8 ימי מאסר תמורתו אם לא ישולם. הקנס ישולם עד ליום 1.7.2024;",גזירת הדין,דיון והכרעה
22,SH-23-02-41988-839,"300 שעות שירות לתועלת הציבור (של""ץ), אשר ירוצו לא לפני 1.8.2024 בעמותת עזר מציון על-פי התוכנית שהכין שירות המבחן ובפיקוחו;",גזירת הדין,דיון והכרעה
23,SH-23-02-41988-839,צו מבחן לתקופה של 12 חודשים מהיום;,גזירת הדין,דיון והכרעה
24,SH-23-02-41988-839,"התחייבות בסך 10,000 ₪ שלא לעבור כל עבירת סמים מסוג פשע במשך שנתיים מהיום. הובהר לנאשם שמשמעות ההתחייבות היא, כי אם יעבור את העבירה בתוך התקופה שצוינה, בית המשפט שיגזור את הדין יהא חייב לחלט את ההתחייבות כקנס;",גזירת הדין,דיון והכרעה
25,SH-23-02-41988-839,מורה על חילוט הטלפון והכספים שנתפסו וכן מורה על השמדת הסמים. יש להחזיר את הטלפון מסוג iphone12 promax.,גזירת הדין,דיון והכרעה
26,SH-23-02-41988-839,"כמוסכם, מורה על חילוט הסך של 5,000 ₪ תמורת שחרור הרכב שכבר בוצע (הפרטים בתיק החזרת התפוס הקשור).",גזירת הדין,דיון והכרעה
27,SH-23-02-41988-839,"הנאשמת הוזהרה כי אי ביצוע צו המבחן וצו השל""ץ עלול להוביל להפקעתם ולהטלת כל עונש חלופי לרבות מאסר.",גזירת הדין,מידע אחר
