part_number,verdict,text,part,predicted_category
11,ME-18-01-22537-277,"בהליך המעצר בגין התיק דנן בחודש פברואר 19' התרשם שירות המבחן מתלותו בסמים ומבחירות שוליות שעושה, אימפולסיביות וקושי בוויסות עצמי הבאים לידי ביטוי בצריכת חומרים, תועלתנות וחיפוש אחר רווחים מהירים. עוד התרשם שירות המבחן מניהול אורח חיים שולי מגיל צעיר, קושי בקבלת גבולות, היעדר הרתעה של סנקציות קודמות ובאותו השלב הנאשם הצליח להתייחס לבעיית התמכרותו והביע מוטיבציה לעריכת שינוי ולהשתלבות בטיפול במסגרת קהילה טיפולית. ביום 4.6.18 הנאשם השתלב בקהילה הטיפולית ""הדרך"". לאחר 9 חודשים, שבועיים טרם מועד סיום הטיפול בקהילה ומעבר להוסטל, הוחלט על הפסקת הטיפול בנאשם באופן מיידי ללא אפשרות לחזרתו לטיפול וזאת על רקע התנהלות הנאשם בקהילה לאורך התקופה האחרונה בקהילה, שכללה דפוסי הסתרה, מניפולציה, חוסר כנות, תועלתנות וההתרשמות שהוא משקיע משאבים בטיפול בעיקר לשם שיפור מצבו המשפטי ולא לשם קידום שינוי בחייו ובמצבו ההתמכרותי. נערכו מספר ניסיונות במסגרת הקהילה לשקף לנאשם את בחירותיו והתנהגותו, אולם הנאשם נקט בגישה מתגוננת והתקשה לקחת אחריות על דפוסיו הבעייתיים, היה מנותק רגשית והתנהל באופן נוקשה באופן שהקשה על התבוננות פנימית יעילה. גורמי הטיפול התרשמו שהנאשם אינו מצליח ליישם את המיומנויות שהוצעו לו בטיפול. לאחר סיום הטיפול בקהילה, הנאשם לא המשיך את הטיפול במסגרת טיפולית אחרת ולדבריו נמנע מחזרה לצריכת סמים בכוחות עצמו. שירות המבחן התרשם מהנאשם אשר לאורך חייו התמודד עם קשיים ומשברים במישור הרגשי, המשפחתי והכלכלי והוא נעדר דמויות הוריות מכוונות ותומכות. מגיל צעיר התקשה להתנהל באופן תקין ולהתמיד במסגרות, חבר לחברה שולית וצרך סמים שהוו עבורו אמצעי רגיעה ושייכות חברתית. לאורך השנים ביצע עבירות על רקע צריכתו סמים. שירות המבחן התרשם מעמדות בעייתיות ושוליות, כשהוא מתקשה בבחינת השלכות התנהגותו בעת ביצוע העבירות כמו גם את חומרתן, זאת לאחר שעבר תהליך טיפולי ממושך ואינטנסיבי בקהילה טיפולית, שם התקשה לשתף פעולה בטיפול ולהתנהל בהתאם לכללי המסגרת. כגורמי סיכון מנה שירות המבחן חומרת העבירות, מעורבות שולית מגיל צעיר, קשרים שוליים והתמכרות לחומרים פסיכו-אקטיביים, קשייו להשתלב בטיפול בעבר ומוטיבציה חיצונית להמשך טיפול. כגורמי סיכוי לשיקום מנה שירות המבחן את היותו של הנאשם בעל כוחות, שעל אף קשייו לאורך שנים השתלב במסגרות שונות, הימנעות ממעורבות נוספת עם החוק והמוטיבציה שמבטא לשיקום חייו. שירות המבחן שיקף לנאשם את הערכתו כי זקוק להמשך טיפול, והנאשם הביע מוטיבציה מילולית ראשונית ופנה לטיפול ביחידה לטיפול בהתמכרויות באריאל. שירות המבחן ראה חשיבות בשילובו של הנאשם בטיפול והדיון בעניינו נדחה.",תסקירי שירות המבחן,תסקיר שירות מבחן
12,ME-18-01-22537-277,"בתקופת הדחייה, הנאשם מסר שעובד באופן מזדמן, משקיע כוחות בחיזוק יחסיו עם בנו ונמצא בטיפול ביחידה לטיפול בהתמכרויות. תאר שמצליח לשתף בקשייו בפתיחות ובכנות, רוכש מיומנויות להתמודדות מקדמת במצבי קושי וסיכון עבורו. במהלך החודשים האחרונים הקשר עם גורמי הטיפול ביחידה מתקיים באמצעות שיחות וידאו בשל הקורונה, הוא משתתף בקבוצה לעזרה עצמית וצפוי להשתלב בקבוצה טיפולית. גורמי הטיפול ביחידה דיווחו שהנאשם משתף פעולה בטיפול באופן מלא, עד למגבלות הקורונה הגיע באופן סדיר למפגשים עמו, מוסר בדיקות שתן המעידות על הימנעותו מצריכת סמים, משקיע כוחות בתפקוד תקין ובשיקום חייו ולהערכת גורמי הטיפול ביחידה, עונש מאסר יפגע בהתנהלותו ועלול לגרום לרגרסיה במצבו ולחזרה לשימוש בסמים. בחודש מרץ 20' הנאשם שולב בקבוצה טיפולית בשירות המבחן המיועדת לעוברי חוק. על רקע מגבלות הקורונה הנאשם השתתף במפגש קבוצתי יחיד והביע רצון להשתלב בקבוצה עם פתיחתה המחודשת. שירות המבחן התרשם שהנאשם עורך מאמצים לשינוי ושיקום חייו, מגלה אחריות ויציבות בתפקידיו השונים ומקפיד לשמר את השינוי החיובי בחייו. לאור שיתוף הפעולה עם גורמי הטיפול, הימנעותו מחזרה לשימוש בסמים ומביצוע עבירות והנכונות שמבטא להמשך הטיפול, שירות המבחן המליץ על צו מבחן והעריך שהטלת עונש מאסר בעיתוי הנוכחי, אף לריצוי בעבודות שירות, עלולה לפגוע במאמציו לתפקוד תקין ולהביא לנסיגה במצבו. לפיכך המליץ שירות המבחן להטיל על הנאשם צו של""צ בהיקף של 500 שעות ועונש של מאסר מותנה.",תסקירי שירות המבחן,תסקיר שירות מבחן
13,ME-18-01-22537-277,"עו""ס קובי בן נון – עו""ס בתחום ההתמכרויות בעירית אריאל. העיד הוא שמכיר את הנאשם מתחילת חודש נובמבר 19'. הנאשם הגיע ביוזמתו וביקש טיפול. הוא עבר ילדות לא פשוטה, חווה אלימות, ולא קיבל שום תמיכה. הוא הגיע לטיפול לאחר שהיה בקהילת ""הדרך"" במשך תקופה ממושכת. מאז שהחל את הטיפול אצלו הוא עוסק בעולמו הפנימי, משתף בצורה כנה ואותנטית, נמצא בתהליך שיקום מאוד יפה. הנאשם מכור תקופה ממושכת, היום הוא נקי מעל לשנתיים, עושה בדיקות שתן כל שבוע והתוצאות נקיות. הוא הולך לקבוצה טיפולית בברקן, בסך הכל 10 מפגשים. הנאשם רוצה לפתוח דף חדש ולא לחזור למקום בו היה. הטיפול בו בקהילת ""הדרך"" הופסק משום שאמו, עמה הקשר מאוד בעייתי, נתנה לו קפה ירוק ולא קלוי, והוא הכניס את זה לקהילה, בצורה של הסתרה והם אמרו שזה דפוס של נרקומנים והרחיקו אותו מהקהילה. הוא מאוד התקדם ועובד על דפוסים אלה. היו לו ניסיונות טיפוליים בשירות המבחן שלא הצליחו, היום הוא נותן אמון בממסד, במטפל ובבית המשפט ומאוד רוצה להשתקם. בטיפול הוא מאוד כן ואמיתי. הנאשם נותן בו אמון וזה הבסיס להצלחה. הנאשם הגיע לטיפול עם מוטיבציה פנימית ומרצונו החופשי. בחודשים האחרונים השתתף בקבוצה בת 10 מפגשים ועשה בדיקת שתן פעם בשבוע.",ראיות לעונש,ראיות לעונש
14,ME-18-01-22537-277,"לטענת ב""כ המאשימה, עוה""ד אביטל פינק ושחר לדובסקי, הנאשם קשר קשר לביצוע ייבוא סמים, הוא היה זה שגייס את הנאשמת והציע לה לשמש בלדרית, דאג לכרטיסי הטיסה, הנחה את הנאשמת כיצד לפעול, סייע לה בתשלום בשדה התעופה ולחץ עליה לאיתור המזוודה. הערך החברתי שנפגע בעבירה הוא הגנה על הציבור מפני הנזקים הישירים והנלווים לשימוש בסמים, ומידת הפגיעה בערך המוגן היא ברף גבוה נוכח סוג הסם וכמותו. הנסיבות הקשורות בביצוע העבירה כוללות תכנון מוקדם ותחכום. אמנם הנאשם היה בלדר ולא המשלח או מי שהיה צפוי לקבל את הסמים ולהפיצם, אך חלקו הוא משמעותי וחיוני לביצוע העבירה. הנזק הפוטנציאלי הוא רב נוכח סוג הסם. אלמלא הסם נתפס, הוא היה מופץ בישראל. המאשימה עתרה למתחם עונש הנע בין 4 ל-7.5 שנות מאסר בפועל. בעניינו של הנאשם התקבלו שני תסקירים. הראשון מלמד שהנאשם החל לצרוך סמים מגיל 12, ובמהלך השנים חלה הדרדרות במצבו. הקשר הטיפולי עם שירות המבחן החל עם מעצרו בחודש פברואר 18'. ביום 4.6.18 הופנה לחלופת מעצר בקהילה הטיפולית ""הדרך"". שבועיים לפני תום הטיפול בקהילה, הוחלט על הפסקת הטיפול בו באופן מיידי, ללא אפשרות חזרתו לטיפול. העו""ס שטיפלה בו בקהילה תארה התנהגות של הסתרה, מניפולציה, חוסר כנות, תועלתנות והשקעת משאבים בטיפול בעיקר כדרך לשפר את מצבו המשפטי. לאחר מכן פנה לטיפול ביחידה להתמכרויות באריאל. שירות המבחן התרשם מעמדות בעייתיות ושוליות כשהנאשם מתקשה לבחון את השלכות התנהגותו בביצוע העבירה ואת חומרתן, כל זאת לאחר טיפול ארוך ואינטנסיבי. כן התרשמו מקשייו לשתף פעולה בהליך הטיפולי וכי הוא מונע בעיקר בשל חששו מגזר הדין. לאור התחייבות הנאשם להמשך טיפול התבקשה דחייה. בתסקיר המסכם צוין שהנאשם המשיך בקשר עם גורמי הטיפול ביחידה להתמכרויות באריאל ומשתתף בקבוצת תמיכה למכורים נקיים, מוסר בדיקות שתן שמעידות על הימנעות משימוש בסמים והעריך שענישה של מאסר תפגע בהתנהלותו ותביא לרגרסיה ואף לחזרתו לצרוך סמים. שירות המבחן ציין את החשיבות שמוצא בשילוב הנאשם בטיפול בשירות המבחן, הוא שולב בקבוצה טיפולית למבוגרים עוברי חוק, ובשל משבר הקורונה השתתף במפגש אחד בלבד והוא מביע נכונות להמשיך בטיפול. שירות המבחן התרשם שהנאשם משקיע מאמצים בשיקום חייו והמליץ על צו מבחן, צו של""צ ומאסר על תנאי. למעשה במשך שנתיים וחצי הנאשם מקיים קשר עם שירות המבחן ורק כעת החל בצעד טיפולי – מאז חודש מרץ 20'. המאשימה אינה סבורה שקיימים שיקולים המצדיקים חריגה ממתחם העונש משיקולי שיקום. למרות שראשית הקשר עם שירות המבחן היה בחודש פברואר 18', הרי שעד היום ההליך הטיפולי אותו עובר הנאשם הוא ראשוני בלבד וזאת למרות הזדמנויות שניתנו לו. במשך תקופה ארוכה העריך שירות המבחן שרצונו של הנאשם בטיפול נובע מרצונו ברווח משני בגזר הדין ולא מרצון אמיתי לשינוי. העובדה שהנאשם נפלט מהטיפול בקהילה שבועיים לפני סופה, מעידה על העדר רצינות הנאשם. עברו הפלילי של הנאשם כולל 3 הרשעות בין השנים 2004-2010 בעבירות סמים. ריצה בעבר עונש מאסר בעבודות שירות בגין עבירות סמים. לאור זאת, עתרה המאשימה להטיל על הנאשם עונש מאסר בתחתית מתחם העונש לצד מאסר על תנאי וקנס.",טיעוני הצדדים,טיעוני הצדדים
15,ME-18-01-22537-277,"לטענת ב""כ הנאשם, עו""ד אשר חן, חייו של הנאשם היו שבורים, הוא בא ממערכת יחסים קשה מאוד בביתו והגיע למקומות קשים ובעייתיים. בעקבות התיק הנוכחי לנאשם היה מאוד קשה ולא עשו לו הנחות בתסקיר הראשון. אולם בתסקיר השני עולה ששירות המבחן ראה שמהרגע שהנאשם התחבר ליחידה להתמכרויות באריאל, זו הפעם הראשונה שהנאשם עובר תהליך משמעותי, משקיע בחיזוק הקשר עם בנו ומקיים מערכת יחסים עם הנאשמת. כמו כן הוא מוסר בדיקות שתן נקיות וכבר שנתיים שהוא נקי מסמים. שירות המבחן התרשם שבאופן הדרגתי הנאשם משתף פעולה באופן מלא, מחודש נובמבר 19' יש שינוי והקשר הטיפולי הוא אמיתי. פעם ראשונה שהוא נכנס למערכת בה הוא נותן אמון והמערכת תומכת בו. הוא עובד, מקיים קשר עם העו""ס ושולב בקבוצה טיפולית ויתכן שישולב בקבוצה נוספת והוא הביע רצון לכך. מדובר באדם שגדל ללא משענת ומאוד קשה לו. לראשונה בחייו יש לו משענת. העו""ס העיד על ההליך שהנאשם עובר, שיקום שיועיל לחברה והוא לעולם לא יחזור לאותו מקום. הנאשם עצם את עיניו לגבי סוג הסם וכמותו, ומכאן שמדובר במי שהשתמשו בו. העונש לו עותרת המאשימה יחזיר אותו לאחור, אחרי שהוא עבר תהליך. הנאשם היה במעצר כמעט חצי שנה, בהמשך היה 8 חודשים וחצי בקהילה הטיפולית בתנאים סגורים, ומחודש יולי 19' הוא בתנאי מעצר בית לילי ומעצר אדם במהלך היום. מדובר בתקופה ארוכה מאוד בה הנאשם משלם מחיר ממשי על העבירה שביצע. דוח ועדת דורנר עסק במשמעות של שליחה למאסר. ענישה אינה מרפאת את אותם אנשים חלשים, אלא ההליכים השיקומיים. הליך השיקום ותקופת היותו עצור בתנאים מגבילים צריכים לקבל ביטוי משמעותי. הנאשם ראוי לריפוי ולשיקום בתוך הקהילה.",טיעוני הצדדים,טיעוני הצדדים
16,ME-18-01-22537-277,"הנאשם טען שמגיל צעיר מאוד הוא משתמש בחומרים. לאחר שיצא מהקהילה ביקש מקצינת המבחן להתחיל בטיפול. הוא רצה טיפול. כעת עלה על דרך חדשה. בעברו, לא ידע מה זה להיות נקי אף לא ליום אחד. היה משתמש אינטנסיבי, הרואין היה נוף ילדותו, ראה סמים קשים מאז היה ילד עוד בטרם צרך סמים. לא יודע מה היה קורה אם היה ממשיך בדרך החיים הקודמת שלו.",טיעוני הצדדים,טיעוני הצדדים
17,ME-18-01-22537-277,"כתב האישום מתאר אירוע אחד, ומכאן שיש לקבוע בגינו מתחם עונש הולם אחד.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
18,ME-18-01-22537-277,"הערכים החברתיים שנפגעו מביצוע העבירה הם הגנה על בריאות הציבור ושלומו מפני הנזקים הנלווים לשימוש בסמים מסוכנים. נזקי הסמים כוללים נזקים ישירים למכורים לסמים, אשר פעמים רבות נופלים כנטל על החברה, ונזקים עקיפים שנגרמים כתוצאה מביצוע עבירות על ידי המכורים לסמים לשם מימון רכישת הסמים. בית המשפט העליון עמד על חומרתן של עבירות הסמים, לרבות עבירה של ייבוא סם מסוכן, ובפרט כאשר מדובר בכמויות גדולות של סמים קשים, ובהם סם מסוג קוקאין אשר נמנה על הקשים שבסמים. הענישה בעבירות אלה נועדה בעיקרה לשרת את עקרון ההלימה. הצורך בענישה מחמירה של מבצעי עבירות סמים נועד לתמוך במאבק בנגע הסמים, ולהעביר מסר חד משמעי וברור לעבריינים. כדי לקיים את עקרון ההלימה בעבירות סמים, יש להתאים את העונש לחומרת המעשים אשר נמדדת בבחינת אופי העבירה, חלקו של הנאשם בביצועה, סוג הסם וכמותו. בעבירות סמים יש כמובן מקום לקחת בחשבון גם את נסיבותיו האישיות של הנאשם, אך הדגש בגזירת העונש הוא על המעשה, וככלל נסיבותיו האישיות של נאשם ייסוגו בפני האינטרס הציבורי שבהטלת ענישה מחמירה בגין עבירות מסוג זה (ראו דברי כב' השופט נ' הנדל בע""פ 6548/17 לבדב נ' מדינת ישראל [30.1.18], וכב' השופט י' אלרון בע""פ 8048/19 פיצ'חדזה נ' מדינת ישראל [4.6.20]).",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
19,ME-18-01-22537-277,"בית המשפט העליון חזר והדגיש את החומרה שיש לנקוט כלפי כל המעורבים בשרשרת הפצת הסם, לרבות כלפי בלדרי סמים אשר אינם ניצבים בראש ההיררכיה, ואשר מתפתים להצעות מפתות לרווחים קלים. מערכת הפצת הסמים נסמכת בחלקה על בלדרים אשר מייבאים את הסמים לישראל, ואותם בלדרים מהווים חוליה משמעותית בייבוא הסמים לישראל. לפיכך, אין מנוס אלא להחמיר גם בעונשם של הבלדרים כדי להיאבק בתופעת יבוא הסמים הקשים לישראל (ע""פ 7044/11 עבד נ' מדינת ישראל [17.6.12]).",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
20,ME-18-01-22537-277,"בחינת מידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה בערך המוגן היא ברף גבוה נוכח סוג הסם (קוקאין) שהוא מהקשים שבסמים וכן נוכח כמותו המשמעותית (4.89 ק""ג). הקוקאין נחשב, ולא בכדי, לסם קשה. זאת הן בשל השפעותיו על גוף האדם, והן בשל פוטנציאל ההתמכרות הגבוה שטמון בו, והצורך של המכורים לכמויות הולכות וגדלות של סם, תוך שהמכורים מבצעים עבירות כדי לממן את השימוש בסמים, ועקב כך נגרמת פגיעה בחברה כולה (ראו דברי כב' השופט נ' הנדל בע""פ 972/11 מדינת ישראל נ' יונה [4.7.12]).",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
21,ME-18-01-22537-277,"במסגרת הנסיבות הקשורות בביצוע העבירה, יש לתת את הדעת לכך שלעבירה קדם תכנון. הנאשם קשר עם בת זוגו (הנאשמת) קשר לייבא סמים לישראל ולשם כך קיים קשר עם אנשים נוספים. בתמורה לייבוא הסם היו צפויים הנאשם והנאשמת לקבל תמורה משמעותית של 100,000 ₪. הנאשם גייס את הנאשמת שתשמש בלדרית בשל חששו כי הוא יעורר חשד בשדה התעופה, ובכך חטא והחטיא. הוא רכש כרטיסי טיסה עבור הנאשמת וחברתה וכן לעצמו. הנאשם השתמש ביישומון שיקשה על איתור התקשורת בינו לבין הנאשמת בחו""ל, ובכך קיים תחכום בביצוע העבירה. הנאשם קיבל את המזוודה ובה הסם בדירה באמסטרדם, טס לבודפשט שם שהתה הנאשמת ומסר לה את מזוודת הסמים כדי שהיא תעבירה לישראל. הנאשם שילם על המשקל העודף של המזוודה ובהמשך לכך הפעיל על הנאשמת לחץ כדי שתאתר את המזוודה שאבדה. חלקו של הנאשם במעשים הוא משמעותי ודומיננטי מאוד. השכר שצפוי היה לקבל הנאשם, ביחד עם הנאשמת, בעבור ייבוא הסם, אמנם משמעותי, אך מלמד שהוא אינו המשלח ואינו סוחר הסמים שעתיד היה לקבל את הסמים ולהפיצם בישראל. עם זאת, בתיקים מסוג זה, חלקם של הבלדרים הוא משמעותי וחיוני לביצוע העבירה. הבלדרים נמצאים אמנם במקום נמוך בהיררכיית העבריינות המייבאת את הסם לישראל, אך מהווים חוליה משמעותית בשרשרת ייבוא הסם. הנאשם עצם את עיניו באשר לסוג הסם ולכמותו, אך אין בכך להמעיט מחלקו היחסי הדומיננטי בעבירה, כמי שקשר את הקשר לבצעה, גייס את הנאשמת כבלדרית, עסק בכל הסידורים הלוגיסטיים הקשורים בהבאת הסמים ואף היה זה שקיבל את מזוודת הסמים והעבירה לנאשמת (לעניין עצימת עיניים בעבירות יבוא סמים, ראו דברי כב' השופט סולברג בע""פ 671/19 אבוטבול נ' מדינת ישראל [7.10.19] (פיסקה 10)). הנזק שצפוי היה להיגרם מהעבירה הוא רב, לנוכח סוג הסם (קוקאין), כמותו (4.89 ק""ג) ושוויו הרב. אלמלא טעותה של הנאשמת באיסוף המזוודה ועקב כך תפיסת הסם על ידי המשטרה, הרי שהסם היה נכנס לישראל ומופץ ברחובותיה, וכתוצאה מכך היה עלול להיגרם נזק רב, כיוון שסמים ובפרט מסוג זה, הם מחוללי פשיעה. הנאשם ביצע את העבירה בעבור בצע כסף וכן על רקע אורח החיים ההתמכרותי והשולי שניהל לאורך השנים.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
22,ME-18-01-22537-277,בחינת מדיניות הענישה הנוהגת מעלה כי במקרים דומים הוטלו על נאשמים עונשי מאסר במנעד רחב כמפורט להלן:,דיון - קביעת מתחם העונש ההולם,דיון והכרעה
23,ME-18-01-22537-277,"בע""פ 10101/17 טאקץ נ' מדינת ישראל (24.3.18), נדון ערעורו של מי שהורשע בת""פ (מח' מר') 41280-09-16 (12.11.17), על פי הודאתו, ביבוא של 6.15 ק""ג קוקאין לישראל, נקבע מתחם מ-5.5 עד 9 שנות מאסר, ונגזר עליו עונש של 6.5 שנות מאסר. בבית המשפט העליון חזר בו הנאשם מהערעור בהמלצת בית המשפט.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
24,ME-18-01-22537-277,"בע""פ 6886/17 מרסל נ' מדינת ישראל (24.4.18), נדחה ערעורו של נאשם אשר הורשע על פי הודאתו בעבירות של ייבוא סם מסוכן וקשירת קשר. הנאשם ייבא לישראל במזוודה סם מסוג קוקאין במשקל של 3 ק""ג. בית המשפט המחוזי קבע מתחם עונש הנע בין 4 ל-7 שנות מאסר והשית על הנאשם 56 חודשי מאסר בפועל. בית המשפט העליון דחה את הערעור תוך שהתייחס לחומרה הרבה בעבירות שתכליתן להחדיר סמים לישראל ובפרט סם מסוג קוקאין ובמשקל גדול.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
25,ME-18-01-22537-277,"בע""פ 6840/14 Giraldo Arbelaez נ' מדינת ישראל (22.7.15), נדחה ערעורה של נאשמת אשר הורשעה על פי הודאתה בעבירת ייבוא סם מסוכן. הנאשמת התלוותה לבלדר אחר בטיסה מקולומביה לישראל ונשאה עמה מזוודה ובה 3.82 ק""ג סם מסוג קוקאין בתמורה לתשלום. בית המשפט המחוזי קבע מתחם עונש הנע בין 4 ל-6.5 שנות מאסר בפועל והשית על הנאשמת עונש של 4 שנות מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
