part_number,verdict,text,part,predicted_category
11,SH-21-11-47780-86,"דומה שאין צורך להכביר מלים באשר לערכים החברתיים המוגנים הנפגעים כתוצאה מעבירות הסחר בסמים, הטומנות בחובן סכנה לבריאות הציבור, לביטחונו, לקניינו, מעצימות את העבריינות בחברה, ומהוות זרז לביצוע עבירות נוספות ומגוונות. שילוב אמצעי תקשורת אלקטרונית ממחיש את הזמינות והקלות בביצוע העבירות, ומאפשר חדירת הסמים לאוכלוסיות נוספות ובפרט לקטינים, שיתכן כי לא היו נחשפים לסם בדרך אחרת. ""עבירות הסמים הפכו זה מכבר לנגע הפוגע בציבור המשתמשים ובחברה בכללותה, ויש לעשות הכל על מנת למגרן ולעקרן מן השורש, גם בדרך של ענישה קשה ומחמירה"" – רע""פ 6869/17 יבגני פילברג נ' מדינת ישראל (11.9.17).",דיון,דיון והכרעה
12,SH-21-11-47780-86,"עסקינן בחמש עבירות סחר בסם, אשר בוצעו בפרק זמן קצר (כשבועיים ימים, מיום 27.10.21 עד יום 11.11.21), תוך המחשת זמינותו של הנאשם לסם מסוג קנאביס בכמויות שונות, החל מגרם אחד (שתי עסקאות), שני גרמים, ארבעה גרמים, וכלה בעסקה בהיקף של עשרים גרם קנאביס. התמורה שקיבל הנאשם תואמת את כמויות הסמים – החל במאה שקלים (שתי עסקאות), 200 ₪, 400 ₪, וכלה ב-1,550 ₪. הנאשם ביצע את מעשיו באופן סדרתי ומתוכנן, תוך הסתייעות באחר שעמד בקשר עם ""הלקוחות"" בתוכנת ""טלגרם"", ובאחד האישומים שוחח הנאשם עצמו עם ""הלקוח"" ביישומון ""וואטסאפ"". השימוש באמצעים דיגיטליים הקל על ביצוע העבירות, וסייע לנאשם לספק סמים ל""לקוחותיו"" במהירות ובקלות, משל היה זה עסק לגיטימי. הנאשם התנייד בקורקינט חשמלי, מה שאיפשר לו לנווט במהירות בתוך העיר, עד כי באחד המועדים ביצע שתי עסקאות בזו אחר זו, עם צרכני סם שונים ובשני מקומות מסירה (אישומים מס' 6 ו-7). הקלות הבלתי נסבלת של ביצוע המעשים, והנגישות הגבוהה של הנאשם ל""לקוחותיו"" – צרכני הסמים, מצדיקות החמרה בענישה, הן כדי להלום את חומרתם של המעשים, הן בשל הקושי של מערכות אכיפת החוק לאתר את מבצעי העבירות ולהעמידם לדין, והן כאלמנט של הרתעה – כלפי הנאשם וכלפי עבריינים פוטנציאליים, כאמצעי שנועד לסייע במיגור התופעה.",דיון,דיון והכרעה
13,SH-21-11-47780-86,"עפ""ג (מחוזי מרכז-לוד) 8209-08-19 מדינת ישראל נ' פסו (9.12.19). בית המשפט החמיר בעונשו של מי שסחר בסם מסוג קנאביס ב-53 עסקאות באמצעות יישומון ""טלגראס"". לעניננו, בית המשפט אישר את מתחם העונש שנקבע בבית משפט השלום בעבור עסקה בודדת בסם מסוג קנאביס במשקל 10-1 גרם, בין מספר חודשי מאסר בעבודות שירות לבין 10 חודשי מאסר בפועל. פסק הדין אושר בבית המשפט העליון – רע""פ 8695/19 פסו נ' מדינת ישראל (5.1.20).",דיון,דיון והכרעה
14,SH-21-11-47780-86,"רע""פ 7858/19 וקנין נ' מדינת ישראל (28.11.19). המבקש הורשע בהתאם להודאתו בשתי עבירות סחר בסמים מסוג קנאביס וחשיש במשקל כולל 5.8 גרם. בית משפט השלום התחשב בכמויות הסם הקטנות ובסכומי הכסף הזעומים ששולמו תמורתן, ומנגד עמד על חומרתן של העבירות ועל הצורך בענישה מחמירה ומרתיעה גם בנסיבות אלו. משכך נקבע מתחם עונש כולל בין מספר חודשי מאסר לבין 8 חודשים שניתן לרצות בעבודות שירות. עונשו של המבקש נגזר ל-5 חודשי מאסר, עליו הצטברו מאסרים מותנים, ובסך הכל נדון ל-12 חודשי מאסר בפועל ועונשים נלווים. ערעורו של המבקש לבית המשפט המחוזי נדחה, וכך גם בקשת רשות ערעור.",דיון,דיון והכרעה
15,SH-21-11-47780-86,"רע""פ 957/22 חבושה נ' מדינת ישראל (8.2.22). חמש עסקאות סחר בקנאביס והחזקת עשרות יחידות סם. לאחר שהוגשו שני תסקירים חיוביים נגזר עונשו של המבקש ל-6 חודשי מאסר בעבודות שירות ועונשים נלווים. ערעורו לבית המשפט המחוזי נדחה, תוך שנקבע כי העונש מקל עמו. בית המשפט העליון חזר על קביעה זו, ודחה את בקשתו לרשות ערעור.",דיון,דיון והכרעה
16,SH-21-11-47780-86,"רע""פ 3059/21 ימין נ' מדינת ישראל (5.5.21). 5 עבירות סחר בסם. המבקש קשר עם אחר להפיץ סם מסוג קנאביס. האחר פרסם את הסמים למכירה ביישומון ""טלגראס"" ועמד בקשר עם הלקוחות, ואילו המבקש שימש כשליח שביצע בפועל את העסקאות, תמורת שכר יומי בן 500 ₪. במכוניתו של המבקש נתפס סם מסוג קנאביס במשקל 50 גרם מחולק למנות, שקיות חלוקה, משקל וכסף מזומן בסך 21,155 ₪. שירות המבחן המליץ לגזור על המבקש מאסר על-תנאי וצו של""צ. בית משפט השלום קבע מתחם עונש כולל בגין עבירות הסחר בסם בין 20-10 חודשי מאסר בפועל, מצא לחרוג לקולה מהמתחם משיקולי שיקום, וגזר על המבקש 8 חודשי מאסר לריצוי בעבודות שירות ועונשים נלווים. ערעורו לבית המשפט המחוזי נדחה, וכך גם בקשתו לרשות ערעור. בית המשפט העליון הוסיף כי: ""הרבה למעלה מן הצורך, יודגש, כי אין יסוד לטענת המבקש כאילו העובדה שסחר בסם מסוג קנאביס, מצדיקה כשלעצמה להקל בעונשו. זאת, שכן הפקודה ""קובעת במפורש כי קנאביס הריהו ""סם מסוכן"" (שם, סעיף 1 והתוספת הראשונה). כך קבע המחוקק. קביעתו זו – היא הדין הנוהג והמחייב"" (ע""פ 6299/20 חן נ' מדינת ישראל (4.2.2021))"" (הדגשה במקור).",דיון,דיון והכרעה
17,SH-21-11-47780-86,"בהתחשב בנסיבות ביצוע העבירות ובמדיניות הענישה, מצאתי לקבוע את מתחם העונש בגין אישום מס' 2 (סחר ב-20 גרם קנאביס) בין 15-5 חודשי מאסר בפועל, ובגין עבירות הסחר האחרות בין מספר חודשי מאסר לבין 10 חודשים. החזקת סם לצריכה עצמית (אישום מס' 1) – בין מאסר על-תנאי לבין 6 חודשי מאסר בפועל. בקביעת העונש בתוך המתחם זקפתי לטובת הנאשם את גילו הצעיר במועד ביצוע העבירות, היעדר הרשעות קודמות באותה עת, הודייתו במיוחס לו בשלב מוקדם של ההליך, הן בבית המשפט והן בשירות המבחן, תוך קבלת אחריות וחיסכון בזמן שיפוטי ובצורך להביא את עדי התביעה הרבים לדוכן העדים. הנאשם לא התמיד בהליך טיפולי, ומשכך לא זכה להמלצתו של שירות המבחן, אך לא ניתן להתעלם ממאמציו לשתף פעולה ולוּ בחלק מהתקופה. הנאשם עובד כיום (לא הגיש מסמכים), עתיד להינשא ולהפוך לאב בקרוב. הוא מפרנס יחיד של התא המשפחתי הקטן (לעת הנוכחית מתגוררים בני הזוג בבית הוריו של הנאשם), ונקל להניח כי העונש שייגזר עליו יפגע לא רק בנאשם, אלא אף ברעייתו ההרה ובהוריו. כן התחשבתי בכך שהנאשם ריצה תקופת מעצר מאחורי סורג ובריח, ובמעצרו בפיקוח אלקטרוני.",דיון,דיון והכרעה
18,SH-21-11-47780-86,"סוף דבר, אני גוזר על הנאשם את העונשים הבאים:",דיון,דיון והכרעה
19,SH-21-11-47780-86,9 חודשי מאסר בפועל מבלי לנכות את תקופת מעצרו.,דיון,דיון והכרעה
20,SH-21-11-47780-86,"המאסר ירוצה בדרך של עבודות שירות ב""בית יפה לגיל הזהב"" בנתניה, בהתאם לחוות דעת הממונה על עבודות שירות מיום 21.9.23. במועד שייקבע יתייצב הנאשם בשעה 8:00 במשרדי הממונה במפקדת מחוז מרכז של שב""ס.",דיון,דיון והכרעה
21,SH-21-11-47780-86,"הנאשם מוזהר כי עליו לעמוד בתנאי ההעסקה ובדרישות הממונה, לרבות בדבר איסור צריכת אלכוהול, וכי כל חריגה מהכללים עלולה להביא להפסקת עבודות השירות וריצוי יתרת עונש המאסר מאחורי סורג ובריח.",דיון,דיון והכרעה
22,SH-21-11-47780-86,"הממונה על עבודות שירות מתבקש להגיש עדכון לחוות הדעת, באשר למועד תחילת ריצוי העונש. תז""פ 16.1.24.",דיון,דיון והכרעה
23,SH-21-11-47780-86,"5 חודשי מאסר אותם לא ירצה הנאשם אלא אם יעבור תוך שלוש שנים עבירה על פקודת הסמים ""מסוג פשע"".",דיון,דיון והכרעה
24,SH-21-11-47780-86,"קנס בסך 3,000 ₪ או 21 ימי מאסר תמורתו. הקנס ישולם ב-6 תשלומים חודשיים שווים ורצופים, החל מיום 10.2.24 ובכל 10 בחודש שלאחריו. לא ישולם איזה מהתשלומים במועדו, תעמוד יתרת הקנס לפירעון מידי.",דיון,דיון והכרעה
