part_number,verdict,text,part,predicted_category
11,ME-15-09-40313-52,"לטענת ב""כ המאשימה, עו""ד שירלי לוגסי, הערך החברתי המוגן שנפגע הינו בטחון הציבור ושלמות הגוף. זמינות נשק חם בידי מי שלא מורשה לכך עלולה להוביל לביצוע עבירות חמורות ולפגיעה בחיי אדם. במדרג עבירות הנשק, מצויה עבירת נשיאת הנשק בדרגת חומרת ביניים והעונש המרבי בגינה הינו 10 שנות מאסר. באשר לנסיבות ביצוע העבירה הרי שהנאשם נשא שני כלי נשק מסוג תת מקלע מאולתרים, טעונים במחסנית ובה כדורים. הנשקים היו בתא מטען של הרכב בתוך שק. נתפסה גם תחמושת, כ- 47 כדורים מלבד אלו שהיו במחסניות. הנסיבות מלמדות כי הנשקים היו מוכנים לירי. הנאשם נשא את הנשקים בטבורה של עיר, עם שניים אחרים, ברכבו בשעת לילה מאוחרת ועל כן מטרת הנשיאה אינה תמימה. עוד יש להתייחס לכך שהנאשם ניסה להימלט ולא נשמע תחילה להוראות השוטרים. רק כאשר הגיע לדרך ללא מוצא נעצר ואז השוטרים חסמו את דרכו. הנזק פוטנציאלי הינו פגיעה בחיי אדם, במיוחד כאשר מדובר בנשקים מאולתרים בהם הפוטנציאל לפגיעה הינו גבוה. יש לתת משקל של ממש לשיקול הרתעת הרבים בעבירות אלו. בשנים האחרונות חלה החמרה בענישה בעבירות מסוג זה והן הוכרו בפסיקה כ""מכת מחוז"". מתחם העונש ההולם הינו בין 3 ל- 6 שנות מאסר. הנאשם ניהל הוכחות בתיק ורק לאחר שנשמעו מרבית עדי התביעה הוא הודה. עם זאת הנאשם נטל אחריות וחסך את המשכו של ההליך. כמו כן, מתסקיר שירות המבחן עולה כי הוא נוטל אחריות למעשיו וכי שיתף פעולה במסגרת צו הפיקוח במשך מספר חודשים. מאז 2001 לא נפתחו נגדו תיקים חדשים. לחובתו הרשעות בעבירות של נשיאת נשק. אמנם מדובר בעבר ישן אך רלוונטי. הוא ריצה שני מאסרים אחד לתקופה של 4 שנים והשני למשך 50 חודשים ויש בכך כדי ללמד על חומרת העבירות הקודמות בהן הורשע. נוכח העובדה שמדובר באותה עבירה, יש לתת לכך משקל. שירות המבחן המליץ על עונש של עבודות שירות כדי שלא לגדוע את ההליך השיקומי, ואולם מי שגדע את ההליך השיקומי במו ידיו הוא הנאשם עת ביצע את העבירות. לא ניתן לומר כי הנאשם עבר הליך טיפולי משמעותי, הוא ביטא הכרה ראשונית במצבו והשתתף בקבוצה שאינה ייעודית לבעיותיו. לפיכך, הגם שיש להתחשב בנתונים שעולים מהתסקיר, הרי שאין מקום לסטות בגינו ממתחם העונש ההולם. יש מקום למקם את הנאשם באמצע המתחם. לפיכך, עתרה ב""כ המאשימה להשית על הנאשם עונש מאסר בפועל, לצד מאסר על תנאי, קנס וחילוט הרכב.",טיעוני הצדדים,טיעוני הצדדים
12,ME-15-09-40313-52,"לטענת ב""כ הנאשם, עוה""ד אלי כהן, רינת בנתורה ורמי זך, הנאשם בן 56 נשוי ואב ל- 3 ילדים, הצעיר בן 8 והבכורה בת 16. הוא המפרנס היחיד של המשפחה, רעייתו עובדת כגננת. הנאשם ורעייתו השקיעו רבות בילדיהם אשר הגיעו להישגים גבוהים. הנאשם סיים לימודי תיכון עם תעודת בגרות, חבר בגיל צעיר לחברה שולית וביצע עבירות. כל זה היה לפני שנים רבות. ההרשעה האחרונה שלו בעבירת אלימות בוצעה בשנת 1999, היינו לפני 19 שנה. העבירה הקודמת בוצעה בשנת 93, לפני 25 שנים. מדובר בעבירות כל כך ישנות אשר עוד כמה חודשים היו עתידות להימחק, ועל כן אין לתת להן משקל. הנאשם בן למשפחה נורמטיבית, יש לו 7 אחים נטולי עבר פלילי, חלקם משכילים. הנאשם עשה תפנית חדה באורך חייו וניפץ את המעגל שהיה נתון בו. הוא נישא והקים בית ומשפחה. הוא יצא לעבודה וביצע תפקידים חשובים במשך 19 השנים האחרונות. הוא עובד מזה 8 שנים בעירייה וכ- 6 שנים כממונה על תאגיד המים ועושה את עבודתו לשביעות רצון מעסיקיו. הנאשם הודה בכתב האישום המתוקן, ממנו נמחקו עובדות והוראות חיקוק. בכתב האישום המתוקן לא מצוין כי היה מרדף, ולא מצוין כי נמצאו כדורים במחסניות. אין מקום לשקול לחובתו את ניהולו של חלק מההליך, הואיל והניהול הביא לאותם תיקונים משמעותיים. נסיבות החזקת הנשק עלומות ואין לגביהן שום מידע. היו ברכב עוד שני אנשים ואיננו יודעים מה הקשר שלהם ולא ניתן להניח לחובת הנאשם הנחות אחרות. תסקיר שירות המבחן הינו חיובי מאוד, הוא היה בפיקוח של שירות המבחן במשך 9 חודשים. הנאשם שהה בתנאים מגבילים משנת 2015 ועד היום, לא הפר תנאי מתנאי שחרורו והוכיח כי הוא ראוי לאמון בית המשפט. תסקיר שירות המבחן עומד על השינוי שערך הנאשם, על העבודה היציבה, על קבלת האחריות למעשיו והבעת החרטה הכנה שהביע הנאשם. שירות המבחן אף קבע כי רמת המסוכנות שלו היא נמוכה ברמת חומרה נמוכה. שירות המבחן סבור כי התערבות טיפולית תקטין עוד את הסיכוי להישנות המעשים. התסקיר מספק את כל הנתונים אשר מצדיקים חריגה ממתחם העונש. קיימת פסיקה מגוונת ובה גם עונשים של עבודות שירות. מתחם העונש צריך להיות בין 9 ל- 33 חודשי מאסר. נוכח מכלול הנתונים, ההודיה והחרטה יש מקום לאמץ את המלצת שירות המבחן. לפיכך עתר ב""כ הנאשם להשית על הנאשם עונש מאסר שירוצה בעבודות שירות כהמלצת שירות המבחן וכן להימנע  מחילוט הרכב.",טיעוני הצדדים,טיעוני הצדדים
13,ME-15-09-40313-52,הנאשם הביע חרטה כנה ועמוקה על מעשיו.,טיעוני הצדדים,טיעוני הצדדים
14,ME-15-09-40313-52,"כתב האישום מתאר אירוע אחד, ומכאן שיש לקבוע בגינו מתחם עונש הולם אחד.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
15,ME-15-09-40313-52,"במקרה דנן, הערך החברתי אשר נפגע הינו הגנה על בטחון הציבור. נשיאת נשק חם, מסוג תת מקלע, יוצרת סיכון שהנשק יגיע בסופו של דבר לגורמים אשר ייעשו בו שימוש למטרות פסולות, לרבות פגיעה בגוף או בנפש.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
16,ME-15-09-40313-52,"על חומרתן של עבירות הנשק עמד בית המשפט העליון, בין היתר, בע""פ 1323/13 חסן נ' מדינת ישראל (5.6.13):",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
17,ME-15-09-40313-52,"בחינת מידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה בערך המוגן הינה ברף בינוני. בהקשר זה נתתי דעתי לכך שהנאשם ביצע עבירה של נשיאת נשק, אשר העונש המרבי אשר המחוקק קבע בצדה הינו של 10 שנות מאסר, שהינה חמורה יותר מעבירה של החזקת נשק אשר עונש המרבי שנקבע לצידה הוא של 7 שנות מאסר, וקלה יותר מעבירה של סחר בנשק שדינה 15 שנות מאסר. עוד יש לתת את הדעת לכך שעסקינן בנשיאת שני כלי נשק מאולתרים מסוג תת מקלע. סבורני כי עבירה בנשק מסוג תת מקלע, הינה חמורה יותר מאשר עבירה בנשק מסוג אקדח, בשל פוטנציאל הנזק הרב יותר של תת מקלע.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
18,ME-15-09-40313-52,"במסגרת הנסיבות הקשורות בביצוע העבירה (סעיף 40 ט' לחוק), יש לתת את הדעת לכך שהנאשם נהג  ברכבו בשעות לילה מאוחרת, יחד עם עוד שני אנשים, תוך שהוא נושא  בתא המטען של רכבו, בתוך שק יוטה בצבע חום, שני רובי ""קרל גוסטב"" מאולתרים עם מחסנית בתוכם, קרטון ובו 39 כדורים 9 מ""מ וגרב שחור ובו 8 כדורים נוספים. כאשר הבחינו בו שוטרים, החל אחד השוטרים בנסיעה אחרי הרכב תוך שהוא כורז במערכת הכריזה לנאשם לעצור וכן מדליק אורות כחולים מהבהבים והורה לנאשם לעצור. עקב כך החל הנאשם בנהיגה מהירה ומשהגיע לדרך ללא מוצא, נעצר והניידת נעצרה אחריו וחסמה את דרכו.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
19,ME-15-09-40313-52,"הנאשם לא היה לבדו ברכב עת נשא את הנשק והתחמושת. יחד עמו היו שני אחרים, ואולם נסיבות נוכחותם ברכב נשארו עלומות ומשכך לא ברור מה היה חלקם. מתוך העובדות עולה כי מדובר היה ברכבו של הנאשם וכי הוא זה אשר נהג.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
20,ME-15-09-40313-52,"פוטנציאל הנזק בעבירות של נשיאת נשק, במיוחד כאשר מדובר בנשק אוטומטי הינו רב. לגרסתו של הנאשם הרקע למעשיו היה קשרים בעייתיים קודמים וקושי שלו להציב גבולות בפני אחרים וכי הוא פעל מתוך מניע של שמירה על תדמיתו הגברית מול גורמים עבריינים מהעבר.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
21,ME-15-09-40313-52,בחינת מדיניות הענישה הנוהגת מעלה כי במקרים דומים הוטלו על נאשמים עונשי מאסר בפועל במנעד רחב כמפורט להלן:,דיון - קביעת מתחם העונש ההולם,דיון והכרעה
22,ME-15-09-40313-52,"בע""פ 3156/11 זראיעה נ' מדינת ישראל (21.2.12), נדחה ערעורו של נאשם אשר הורשע בעבירות של נשיאה והובלת נשק והסתייעות ברכב לביצוע פשע. הנאשם נסע ברכבו, לאחר שהסליק בו אקדח, מחסנית טעונה בכדורי אקדח בקוטר 9 מ""מ וקופסאות עם כדורי אקדח בקוטר 9 מ""מ. האקדח והתחמושת נתפסו בחיפוש שגרתי שביצעה המשטרה ברכב. הנאשם מנהל אורח חיים נורמטיבי, אב ל-4 ילדים ומפרנס יחיד במשפחתו, נידון ל- 24 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
23,ME-15-09-40313-52,"בע""פ 2892/13 ‏עודתאללה נ' מדינת ישראל (29.9.13), נדחה ערעורו של נאשם אשר הורשע, לאחר ניהול הוכחות, בעבירה של נשיאה והובלה של נשק שלא כדין והסתייעות ברכב לביצוע פשע. הנאשם נהג ברכב כשהוא מוביל את האקדח – ובו מחסנית ריקה מכדורים – מוסתר תחת השטיחון שמתחת לכיסא הנהג ברכב. הנאשם נעדר עבר פלילי ועד לביצוע העבירה הוא ניהל אורח חיים נורמטיבי. בית המשפט המחוזי קבע מתחם שבין 12 ל- 36 חודשי מאסר. נדון ל-21 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
24,ME-15-09-40313-52,"בע""פ 4329/10 פלוני נ' מדינת ישראל (25.10.10), נדחה ערעורו של נאשם אשר הורשע בנשיאת נשק והחזקתו. הנאשם צעיר, נעדר עבר פלילי, סטודנט, ששירות המבחן המליץ להסתפק בעניינו במאסר שאותו יוכל לשאת בדרך של עבודות שירות. נידון ל- 20 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
25,ME-15-09-40313-52,"בע""פ 9702/16 אבו אלוליאיה נ' מדינת ישראל (13.9.17), נדחה, ברוב דעות, ערעורו של נאשם אשר הורשע בעבירה של נשיאת והובלת נשק וכן נשיאה והובלת תחמושת. הנאשם הבחין באדם זורק תיק בצד הדרך, כאשר חזר וניגש לתיק הבחין כי בתוכו תת מקלע מאולתר, שתי מחסניות ריקות וקופסה של 50 כדורי 9 מ""מ. הנאשם נטל עמו את התיק והחביא אותו אצלו במשך חצי שנה. הנאשם כבן 37, נשוי ואב לשלושה ילדים, מפרנס יחיד ומנהל אורח חיים נורמטיבי. בעברו הרחוק שתי הרשעות קודמות. בית המשפט המחוזי קבע מתחם עונש בין 14 ל- 36 חודשי מאסר בפועל. בבית המשפט העליון, כאמור נחלק הדעות. כב' השופטת ע' ברון בדעת מיעוט סברה כי מתחם העונש ההולם צריך להיות בין 10 ל- 30 חודשי מאסר בפועל וכי עונשו של הנאשם צריך לעמוד על 12 חודשי מאסר בפועל. כב' השופט ד' מינץ וכב' השופטת (כתוארה אז) א' חיות חלקו על דעתה וקבעו כי גם אם היה ניתן להעמיד את מתחם העונש ההולם על 10-30 חודשים, אין מקום להתערב בעונש אשר הוטל על הנאשם. הנאשם נידון ל- 18 חודשי מאסר.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
26,ME-15-09-40313-52,"בע""פ 135/17 ‏מדינת ישראל נ' בסל (8.3.17), התקבל ערעור המדינה על קולת העונש שהוטל על נאשם אשר הורשע בעבירה של החזקה ונשיאת נשק. הנאשם נשא תת מקלע מאולתר ומחסנית, החביא אותו בביתו ובהמשך מסר אותו לאחר. הנאשם צעיר, בעל עבר פלילי זניח. בית המשפט העליון העמיד את עונשו של הנאשם על 18 חודשי מאסר בפועל (חלף 12 חודשי מאסר בפועל).",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
27,ME-15-09-40313-52,"בע""פ 8133/15 יונס נ' מדינת ישראל (5.4.17), נדחה ערעורו של נאשם אשר הורשע בהחזקה ונשיאת נשק, הפרעה לשוטר ונהיגה ללא רישיון. הנאשם החזיק ברכבו שני תתי-מקלע מאולתרים, קופסה המכילה תחמושת ושלוש מחסניות. כמו כן לאחר שסרב לעצור את רכבו, התפתח מרדף משטרתי בסופו הוא נתפס. בית המשפט המחוזי קבע כי מתחם הענישה בין 12 ל-36 חודשי מאסר בפועל. בית המשפט העליון קבע כי העונש נוטה לקולא. הנאשם נידון ל- 14 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
28,ME-15-09-40313-52,"בת""פ (מח' מרכז-לוד) 49160-11-15 מדינת ישראל נ' נאסר (10.4.16), הורשע נאשם בעבירות של החזקת נשק, נשיאת נשק ונהיגה בפסילה. הנאשם הוביל ברכבו אקדח טעון בכדורים מתחת למושב הנהג ברכבו. הנאשם צעיר, כבן 27, נשוי ובעל נסיבות אישיות וכלכליות. נקבע מתחם שנע בין 18 ל- 40 חודשי מאסר בפועל. הנאשם נדון ל- 30 חודשי מאסר בפועל (וכן הופעל מאסר על תנאי, סה""כ 36 חודשים).",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
29,ME-15-09-40313-52,"בת""פ (מח' חי') 3772-01-16 מדינת ישראל נ' מחאמיד (14.11.16), הורשע הנאשם בכך שהחזיק יחד עם אחר בצוותא חדא, רובה מסוג MP5, תת מקלע מאולתר וכן מחסנית וכדורים, בלא רשות על פי דין להחזקתם. בנוסף, נשא הנאשם את תת המקלע יחד עם המחסנית והכדורים למקום מסוים ושם ירה באמצעות תת המקלע המאולתר כ-20 כדורים. הנאשם, בן 34 נשוי ואב לשני ילדים, בעל תואר ראשון בהנדסה ואלקטרוניקה, נעדר עבר פלילי. נידון ל- 18 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
30,ME-15-09-40313-52,"ת""פ (מח' ת""א) 6904-12-14‏ מדינת ישראל נ' כבהא (30.4.15), הורשע נאשם בעבירות של נשיאה והובלת נשק והחזקת סם לשימוש עצמי. הנאשם נשא והוביל רובה מאולתר, מדגם ""קרל גוסטב"" יחד עם מחסנית וכדורים כשהוא עטוף בבגדים. הנאשם צעיר בגיר, הביע חרטה וטען כי המעשה היה על רקע הגנה עצמית. נידון ל- 18 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
31,ME-15-09-40313-52,"בת""פ (מח' מרכז-לוד) 69158-11-16 מדינת ישראל נ' גבארה (12.6.17), הורשע נאשם בעבירות של נשיאת נשק ותחמושת וכן ירי באזור מגורים. הנאשם טמן באדמה, תיק בד ובו נשק תת-מקלע מסוג ""קרלו"" יחד עם מחסנית ותחמושת מסוג 9 מ""מ, בהמשך הכניסו לרכבו והגיע לאירוע משפחתי במהלכו הוציא את הנשק והתחמושת מהרכב, וירה צרור כדורים למעלה. הנאשם צעיר, נעדר עבר פלילי, נשוי ואב לשני פעוטות. נידון ל- 17 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
32,ME-15-09-40313-52,"בהתאם לתיקון 113 לחוק העונשין (סעיף 40 יג'), סבורני כי מתחם העונש ההולם הינו החל  מ- 16 חודשי מאסר בפועל ועד ל- 40 חודשי מאסר בפועל.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
33,ME-15-09-40313-52,"במקרה דנן, לא קיימים שיקולים אשר מצדיקים סטייה מהמתחם, לחומרה או לקולא. נתתי דעתי לכך כי ב- 19 השנים האחרונות ניהל הנאשם אורח חיים נורמטיבי. כמו כן, נתתי דעתי לכך כי במשך 9 חודשים היה הנאשם תחת צו פיקוח של שירות המבחן וכי על פי תסקיר שירות המבחן הוא שיתף פעולה לאורך כל התקופה ואף לקח חלק בקבוצה לעצורי בית ונראה כי נתרם ממנה. עם זאת, סבורני כי מדובר בהליך טיפולי ראשוני אשר אין בו כדי להצדיק חריגה ממתחם העונש. כך גם ניהול אורח החיים הנורמטיבי צריך להילקח בחשבון בתוך גדרי המתחם.",דיון - קביעת מתחם העונש ההולם,דיון והכרעה
34,ME-15-09-40313-52,"בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה (סעיף 40 יא'). במסגרת זו מן הראוי לתת את הדעת לכך שהנאשם יליד 1962, נשוי ואב ל- 3 ילדים, הצעיר בן 8 והבכורה בת 16. עוד יש להביא בחשבון כי הנאשם מנהל מזה שנים ארוכות חיים נורמטיביים, במהלכן עובד מזה 8 שנים בעיריית טירה, ו- 6 שנים כאחראי גבייה בתאגיד המים במשולש. מאסר בפועל לתקופה ממושכת יביא ללא ספק לאובדן עבודתו ומקור פרנסתו, ובהינתן כי הוא המפרנס העיקרי של משפחתו, אין ספק כי עונש מאסר לתקופה משמעותית יפגע בו ובמשפחתו.",גזירת העונש המתאים לנאשם,דיון והכרעה
35,ME-15-09-40313-52,"הנאשם הודה במיוחס לו, הביע חרטה כנה ונטל אחריות על מעשיו. הודייתו של הנאשם באה לאחר שכבר החלו להישמע ראיות, ואולם ניהול משפט על ידי נאשם לעולם לא ייזקף לחובתו, ובמקרה זה ניהול המשפט אף הביא לתיקון מסוים בכתב האישום.",גזירת העונש המתאים לנאשם,דיון והכרעה
36,ME-15-09-40313-52,"כאמור במשך 6 שנים עבד הנאשם במסגרת תאגיד המים במשולש, פעל במסירות ואף הקים מערך הדרכה לעובדים חדשים אשר זוכה להצלחה רבה בתאגיד. הנאשם ביצע את העבירה בחודש ספטמבר 2015.",גזירת העונש המתאים לנאשם,דיון והכרעה
37,ME-15-09-40313-52,לחובתו של הנאשם 3 הרשעות קודמות אשר הרישום בגינן התיישן אך לא נמחק:,גזירת העונש המתאים לנאשם,ראיות לעונש
38,ME-15-09-40313-52,"הרשעה אחת משנת 1989 בעבירות של שבל""ר, נשיאת נשק, קשירת קשר לפשע ושוד מזויין, בגינה ריצה מאסר בפועל למשך 4 שנים.",גזירת העונש המתאים לנאשם,ראיות לעונש
39,ME-15-09-40313-52,"הרשעה שניה משנת 1994 בעבירות נשיאת נשק, קשירת קשר לפשע, החזקת נשק וירי מנשק חם באזור מגורים בגינה נידון ל- 50 חודשי מאסר בפועל.",גזירת העונש המתאים לנאשם,ראיות לעונש
40,ME-15-09-40313-52,הרשעה שלישית משנת 2001 בעבירות אלימות בגינה ריצה 5 חודשי מאסר.,גזירת העונש המתאים לנאשם,ראיות לעונש
41,ME-15-09-40313-52,"הגם שמדובר בעבירות ישנות מאוד הרי שמדובר בהרשעות בעבירות בעלות מאפיינים דומים לעבירות בתיק זה ומכאן שלא ניתן להתעלם מהם. עם זאת נתתי דעתי לכך כי משנת 1993, מעל 20 שנה, לא ביצע הנאשם עבירות הקשורות בנשק.  עוד נתתי דעתי לכך שמיום שסיים הנאשם לרצות את מאסרו האחרון, הצליח לשקם את חייו, ניהל אורח חיים נורמטיבי, נישא, הוליד ילדים, הקים את ביתו ואף עבד בתפקידים משמעותיים, ללא מעורבות חוזרת בפלילים. שירות המבחן אף מעריך את מסוכנותו של הנאשם כנמוכה, וככל שיבצע עבירת אלימות, צפויה אף זו להיות ברמת חומרה נמוכה.",גזירת העונש המתאים לנאשם,דיון והכרעה
42,ME-15-09-40313-52,"עוד יש לתת את הדעת לשיקול הרתעת היחיד בגדרו של המתחם, וזאת בשים לב לכך שעל אף שהצליח הנאשם במשך שנים רבות לשקם את עצמו ולנהל אורח חיים נורמטיבי, כשל וחזר לבצע עבירות נשק וזאת על אף עונשי המאסר הארוכים שהושתו עליו בעבר בגין עבירות דומות.",גזירת העונש המתאים לנאשם,דיון והכרעה
43,ME-15-09-40313-52,"באיזון בין השיקולים השונים, סבורני כי יש לגזור על הנאשם עונש בחלקו הנמוך יחסית של המתחם. בכל הנוגע לחילוט הרכב, סבורני כי אין לקבל את עמדת המאשימה ולהורות על החילוט.",גזירת העונש המתאים לנאשם,דיון והכרעה
44,ME-15-09-40313-52,18 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 18.9.15 עד 26.10.15.,"אשר על-כן, הנני גוזר על הנאשם את העונשים הבאים:",דיון והכרעה
45,ME-15-09-40313-52,"הנאשם יתייצב לריצוי מאסרו בבית הסוהר הדרים ביום 13.5.18 עד השעה 10:00, כשברשותו תעודת זהות או דרכון. על הנאשם לתאם את הכניסה למאסר, כולל האפשרות למיון מוקדם, עם ענף אבחון ומיון של שב""ס, טלפון: 08-9787377, 08-9787336.","אשר על-כן, הנני גוזר על הנאשם את העונשים הבאים:",מידע אחר
46,ME-15-09-40313-52,"12 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך 3 שנים מיום שחרורו מהמאסר כל עבירת נשק מסוג פשע.","אשר על-כן, הנני גוזר על הנאשם את העונשים הבאים:",דיון והכרעה
47,ME-15-09-40313-52,"6 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך שנתיים מיום שחרורו מהמאסר כל עבירת נשק מסוג עוון.","אשר על-כן, הנני גוזר על הנאשם את העונשים הבאים:",דיון והכרעה
48,ME-15-09-40313-52,לאחר היות גזר הדין חלוט הרכב יושב לבעליו והנשקים יחולטו.,"אשר על-כן, הנני גוזר על הנאשם את העונשים הבאים:",דיון והכרעה
