verdict,עובדות המקרה,טיעוני הצדדים,דיון והכרעה
ME-15-05-30191-143,1,1,1
ME-15-05-36381-295,1,1,1
ME-15-05-43844-972,1,1,1
ME-15-05-45095-860,1,0,1
ME-15-05-45597-767,1,1,1
ME-15-05-57220-310,1,1,1
ME-15-05-983-72,1,1,1
ME-15-06-10549-413,1,1,1
ME-15-06-12109-344,1,0,1
ME-15-06-21801-485,1,1,1
ME-15-06-23851-781,1,1,1
ME-15-06-3510-106,1,0,1
ME-15-06-54526-247,1,1,1
ME-15-07-14991-204,0,1,1
ME-15-07-32685-274,1,0,1
ME-15-07-36091-858,1,1,1
ME-15-07-47548-478,1,1,1
ME-15-07-52626-96,1,1,1
ME-15-07-57474-570,1,1,1
ME-15-08-13153-79,1,1,0
ME-15-08-34916-597,1,0,0
ME-15-08-39998-350,1,1,1
ME-15-08-40390-424,1,1,1
ME-15-08-41886-56,0,0,1
ME-15-08-44579-251,1,1,1
ME-15-08-53084-239,1,0,0
ME-15-08-54962-361,1,1,1
ME-15-08-8192-986,1,0,1
ME-15-09-12325-629,1,1,1
ME-15-09-21279-829,1,1,1
ME-15-09-24510-335,1,1,1
ME-15-09-36328-768,1,1,1
ME-15-09-37056-555,1,0,0
ME-15-09-40313-52,1,1,1
ME-15-09-40450-667,0,1,1
ME-15-09-40834-111,1,1,1
ME-15-10-11362-496,1,1,1
ME-15-10-26043-22,0,1,1
ME-15-10-273-650,1,1,1
ME-15-10-37065-716,1,1,1
ME-15-10-371-55,1,1,1
ME-15-10-43643-991,1,1,1
ME-15-10-61848-139,1,1,1
ME-15-10-62958-26,0,0,0
ME-15-10-63752-55,1,1,1
ME-15-11-12493-464,1,1,1
ME-15-11-12761-94,1,0,0
ME-15-11-13864-999,1,0,1
ME-15-11-20811-403,1,1,1
ME-15-11-27584-269,1,1,1
ME-15-11-27685-385,1,1,1
ME-15-11-3068-620,1,1,1
ME-15-11-31334-198,1,1,1
ME-15-11-32819-130,1,1,1
ME-15-11-40922-551,1,1,1
ME-15-11-42743-945,1,1,0
ME-15-11-43110-948,1,1,1
ME-15-11-45432-364,1,1,1
ME-15-11-45441-351,1,0,1
ME-15-11-45446-577,1,1,1
ME-15-11-45465-294,1,1,1
ME-15-11-46183-219,1,0,1
ME-15-11-46248-372,1,1,1
ME-15-11-57539-22,1,1,1
ME-15-11-64689-724,1,1,1
ME-15-11-65677-894,1,0,1
ME-15-12-18488-686,1,1,1
ME-15-12-23253-817,1,1,1
ME-15-12-35695-730,1,1,1
ME-15-12-39071-113,1,1,1
ME-15-12-39193-951,1,1,1
ME-15-12-39950-22-A,1,0,0
ME-15-12-53715-747,1,0,1
ME-15-12-53763-120,0,1,1
ME-15-12-57218-328,1,1,1
ME-15-12-9785-495,1,1,1
ME-16-01-189-123,1,1,1
ME-16-01-31498-921,1,1,1
ME-16-01-3686-941,1,1,1
ME-16-01-3772-806,1,1,1
ME-16-01-53985-548,1,1,1
ME-16-01-58697-845,1,1,1
ME-16-01-741-799,1,1,1
ME-16-02-1589-411,1,1,1
ME-16-02-18397-87,1,1,1
ME-16-02-34242-546,1,1,1
ME-16-02-42291-618,1,1,1
ME-16-02-49331-21,0,1,1
ME-16-02-51916-553,0,0,0
ME-16-02-51944-920,1,1,1
ME-16-02-59812-881,1,1,1
ME-16-02-61452-720,1,1,1
ME-16-02-7108-893,1,1,1
ME-16-02-7111-793,0,1,1
ME-16-03-40497-29,0,0,0
ME-16-03-41585-22,1,1,1
ME-16-03-50321-753,0,1,1
ME-16-03-54615-517,1,1,1
ME-16-03-59260-279,1,0,1
ME-16-04-12480-812,1,1,1
ME-16-04-16644-31,1,1,1
ME-16-04-204-262,1,0,0
ME-16-04-30242-563,1,1,1
ME-16-04-33882-921,1,0,1
ME-16-04-45095-468,1,1,1
ME-16-04-9179-774,0,1,1
ME-16-05-16543-505,1,1,1
ME-16-05-19384-544,1,1,1
ME-16-05-20367-277,0,1,1
ME-16-05-25902-514,1,1,1
ME-16-05-2606-880,1,1,1
ME-16-05-26087-44,0,0,1
ME-16-05-26101-490,1,1,1
ME-16-05-33009-930,0,1,1
ME-16-05-336-804,1,1,1
ME-16-05-39341-11,1,1,1
ME-16-05-39986-222,1,0,0
ME-16-05-4176-485,1,0,0
ME-16-05-41965-567,0,1,1
ME-16-05-6785-389,0,1,1
ME-16-05-9968-487,1,1,1
ME-16-05-9983-155,1,1,1
ME-16-06-11786-780,0,0,1
ME-16-06-21594-496,1,1,1
ME-16-06-21873-580,1,1,1
ME-16-06-42987-901,0,0,1
ME-16-06-44840-433,0,0,1
ME-16-06-47668-661,1,1,0
ME-16-06-50916-362,1,1,1
ME-16-06-5551-882,1,1,1
ME-16-06-64845-657,1,1,1
ME-16-06-64950-515,1,1,1
ME-16-06-808-60,1,1,1
ME-16-06-8684-44,1,1,1
ME-16-07-14531-782,1,1,1
ME-16-07-15120-55,0,1,1
ME-16-07-16835-667,0,0,1
ME-16-07-30015-11,1,1,1
ME-16-07-39850-50,1,1,1
ME-16-07-41855-64,1,1,1
ME-16-07-42223-236,1,1,1
ME-16-07-45228-25,1,1,1
ME-16-07-49079-996,1,1,1
ME-16-07-50747-35,1,1,1
ME-16-08-12074-33,0,1,1
ME-16-08-229-604,1,1,1
ME-16-08-29984-245,1,1,1
ME-16-08-32293-448,1,0,0
ME-16-08-44157-713,1,1,1
ME-16-08-45473-671,1,1,1
ME-16-08-49859-982,0,0,0
ME-16-08-50071-41,1,1,1
ME-16-08-54879-35,1,1,1
ME-16-09-13355-11,1,0,0
ME-16-09-13416-978,1,1,1
ME-16-09-21908-135,1,0,0
ME-16-09-37367-44,1,0,0
ME-16-09-398-589,1,1,1
ME-16-09-4633-22,0,1,1
ME-16-10-12213-904,1,1,1
ME-16-10-16420-262,0,1,1
ME-16-10-18579-375,1,0,0
ME-16-10-19019-183,1,1,1
ME-16-10-26175-22,1,1,1
ME-16-10-5037-989,1,0,1
ME-16-10-533-200,1,0,0
ME-16-10-9348-780,1,1,1
ME-16-11-13999-863,1,1,1
ME-16-11-47586-491,1,1,1
ME-16-11-56385-886,1,1,1
ME-16-11-69158-529,1,1,1
ME-16-12-11789-682,1,1,1
ME-16-12-15943-228,1,1,1
ME-16-12-50986-619,1,1,1
ME-16-12-64990-76,1,1,1
ME-17-01-10627-424,1,0,0
ME-17-01-18689-992,1,1,1
ME-17-01-44521-24,0,0,0
ME-17-01-59804-978,1,1,1
ME-17-02-19821-739,1,1,1
ME-17-02-3454-397,1,1,1
ME-17-02-41242-441,1,1,1
ME-17-02-48435-315,1,1,1
ME-17-02-51038-581,1,1,1
ME-17-02-54432-484,1,1,1
ME-17-02-9873-811,0,0,1
ME-17-03-1995-297,1,1,1
ME-17-03-26417-129,1,1,1
ME-17-03-53698-45,1,0,1
ME-17-04-1901-539,1,1,1
ME-17-04-19741-416,1,1,1
ME-17-04-21139-452,1,1,1
ME-17-04-30875-798,0,1,1
ME-17-04-35048-22,1,1,1
ME-17-04-45561-926,1,1,1
ME-17-04-613-913,1,1,1
ME-17-05-35227-215,1,1,1
ME-17-05-395-224,1,1,1
ME-17-05-45747-167,1,1,1
ME-17-05-45761-905,1,1,1
ME-17-05-522-895,1,1,1
ME-17-05-55639-212,0,1,1
ME-17-05-57618-514,1,1,1
ME-17-05-57628-197,1,1,1
ME-17-05-633-549,1,1,1
ME-17-05-64941-55,1,1,1
ME-17-06-17856-893,1,1,1
ME-17-06-20613-371,1,0,0
ME-17-06-31034-933,1,1,1
ME-17-06-35512-802,0,1,1
ME-17-06-41276-459,1,1,1
ME-17-06-51716-210,1,1,1
ME-17-06-52219-192,1,1,1
ME-17-06-55670-340,1,1,1
ME-17-06-66838-648,1,1,1
ME-17-07-45713-955,1,1,1
ME-17-07-4807-73,1,0,0
ME-17-07-50809-433,1,1,1
ME-17-07-520-371,0,1,1
ME-17-07-53772-358,1,0,0
ME-17-07-63206-314,1,0,1
ME-17-07-66310-844,1,1,1
ME-17-08-13632-55,1,1,1
ME-17-08-28615-573,1,1,1
ME-17-08-28728-696,1,0,1
ME-17-08-47161-136,1,1,1
ME-17-08-50556-55,1,1,1
ME-17-09-2058-44,1,1,1
ME-17-09-34413-331,1,0,0
ME-17-09-38154-771,1,1,1
ME-17-09-48143-740,1,1,1
ME-17-09-49995-56,1,1,1
ME-17-09-55908-387,1,1,1
ME-17-09-62958-633,1,0,0
ME-17-09-950-768,0,1,1
ME-17-10-12549-265,1,1,1
ME-17-10-17393-266,0,1,1
ME-17-10-48506-537,1,0,0
ME-17-10-51523-521,1,1,1
ME-17-10-55188-835,0,1,1
ME-17-10-58812-403,1,1,1
ME-17-10-62597-895,1,0,0
ME-17-12-10476-608,1,1,1
ME-17-12-17304-736,1,1,1
ME-17-12-20051-644,1,1,1
ME-17-12-22830-699,1,1,1
ME-17-12-312-482,1,1,1
ME-17-12-31367-540,1,1,1
ME-17-12-32803-592,1,0,0
ME-17-12-32889-55,1,1,1
ME-17-12-4795-723,1,1,1
ME-18-01-13154-30,1,1,1
ME-18-01-16520-339,0,1,1
ME-18-01-27442-55,1,1,1
ME-18-01-29650-142,1,0,1
ME-18-01-35364-850,0,1,1
ME-18-01-49632-140,0,1,1
ME-18-01-52479-769,1,1,1
ME-18-01-52895-37,1,1,1
ME-18-01-732-652,1,1,1
ME-18-02-16505-658,1,1,1
ME-18-02-1909-13,1,1,1
ME-18-02-24047-205,1,1,1
ME-18-02-4283-295,1,1,1
ME-18-02-54462-770,1,0,1
ME-18-02-630-602,1,1,1
ME-18-03-19438-13,1,1,1
ME-18-03-20044-637,1,1,1
ME-18-03-35163-225,1,1,1
ME-18-03-36982-305,1,1,1
ME-18-03-40932-402,1,0,1
ME-18-03-41228-555,0,1,1
ME-18-03-50551-148,0,1,1
ME-18-03-52225-55,1,1,1
ME-18-03-52790-219,0,1,1
ME-18-03-53496-837,1,1,1
ME-18-03-63357-222,0,1,1
ME-18-04-19642-504,1,1,1
ME-18-04-3013-536,1,1,1
ME-18-04-3295-790,1,1,1
ME-18-04-34003-22,1,1,1
ME-18-04-34027-630,1,1,1
ME-18-04-35608-979,0,1,1
ME-18-04-35688-389,1,0,0
ME-18-04-37387-230,1,1,1
ME-18-04-49416-848,1,1,1
ME-18-04-57822-746,1,0,1
ME-18-05-10524-638,1,1,1
ME-18-05-32659-754,0,1,1
ME-18-05-32731-705,1,1,1
ME-18-05-41522-352,1,1,1
ME-18-05-42697-576,1,0,0
ME-18-05-56073-933,1,1,1
ME-18-05-63018-622,1,1,1
ME-18-05-69643-431,1,1,1
ME-18-05-7942-983,1,1,1
ME-18-06-11814-47,1,1,1
ME-18-06-34198-11,0,1,1
ME-18-06-34526-602,1,1,1
ME-18-06-36728-73,1,1,1
ME-18-06-46590-33,1,1,1
ME-18-06-47284-987,1,1,1
ME-18-07-13301-677,1,1,1
ME-18-07-21906-759,1,1,1
ME-18-07-21971-383,0,1,1
ME-18-07-23532-512,1,0,1
ME-18-07-3742-540,1,1,1
ME-18-07-45630-284,1,1,1
ME-18-07-50330-234,1,1,1
ME-18-07-60379-440,1,1,1
ME-18-07-60648-983,1,1,1
ME-18-07-60792-633,1,1,1
ME-18-08-42980-243,1,1,1
ME-18-08-8864-290,1,1,1
ME-18-09-15153-1511,1,1,1
ME-18-09-15905-955,1,1,1
ME-18-09-34938-726,1,1,1
ME-18-09-39800-871,1,1,1
ME-18-10-1118-920,1,1,1
ME-18-10-12376-279,1,1,1
ME-18-10-26434-945,1,1,1
ME-18-10-30972-637,1,1,1
ME-18-10-33100-33,0,1,1
ME-18-10-33226-487,1,1,1
ME-18-10-34117-55,1,1,1
ME-18-10-69640-543,1,0,0
ME-18-10-8310-638,1,1,1
ME-18-11-17941-195,1,1,0
ME-18-11-18300-582,1,1,1
ME-18-11-4475-747,1,1,1
ME-18-11-58698-801,1,1,1
ME-18-12-36698-478,1,1,1
ME-18-12-39990-758,1,1,1
ME-18-12-51306-11,1,1,1
ME-18-12-54308-606,1,1,1
ME-18-12-61087-4,1,1,1
ME-18-12-63642-864,1,1,1
ME-19-01-11134-480,1,1,1
ME-19-01-17860-11,1,1,1
ME-19-01-43752-281,0,1,1
ME-19-01-4766-873,1,0,0
ME-19-01-53615-8,1,1,1
ME-19-02-23872-143,1,1,1
ME-19-02-24704-515,0,1,1
ME-19-03-15217-631,1,0,1
ME-19-03-15627-234,0,1,1
ME-19-03-27929-617,1,1,1
ME-19-03-57474-674,0,1,1
ME-19-03-57498-650,1,1,1
ME-19-04-1316-977,1,1,1
ME-19-04-14488-104,1,1,1
ME-19-04-1641-175,1,1,1
ME-19-04-22030-593,0,1,1
ME-19-04-2642-861,0,1,1
ME-19-04-27294-428,1,1,1
ME-19-04-7735-986,1,1,1
ME-19-05-56374-18,1,1,1
ME-19-05-56488-212,1,1,1
ME-19-06-23015-609,1,1,1
ME-19-06-34802-695,1,1,1
ME-19-06-52390-378,1,1,1
ME-19-07-11104-821,0,1,1
ME-19-07-14115-566,1,1,1
ME-19-07-34507-415,1,1,1
ME-19-07-4411-664,1,1,1
ME-19-07-50481-38,1,0,0
ME-19-07-54607-11,1,0,1
ME-19-07-8008-205,1,1,1
ME-19-08-1203-11,1,1,1
ME-19-08-19218-22,1,0,1
ME-19-08-35979-405,1,1,1
ME-19-08-5578-272,1,1,1
ME-19-09-22765-888,1,1,1
ME-19-09-2690-22,1,1,1
ME-19-09-44105-67,1,1,1
ME-19-09-46366-214,1,1,1
ME-19-09-54384-511,1,0,0
ME-19-10-2101-167,1,1,1
ME-19-10-26069-172,1,1,1
ME-19-10-28326-676,1,1,1
ME-19-10-5151-13,1,1,1
ME-19-10-56031-205,1,1,1
ME-19-10-9355-84,1,1,1
ME-19-11-15772-474,1,1,1
ME-19-11-39941-430,1,1,1
ME-19-11-40898-357,1,1,1
ME-19-11-41052-634,0,1,1
ME-19-11-5221-352,1,1,1
ME-19-11-57729-467,1,1,1
ME-19-11-58505-490,0,0,1
ME-19-11-58524-567,1,1,1
ME-19-11-68008-187,0,0,1
ME-19-12-15423-44,1,0,1
ME-19-12-19272-470,1,1,1
ME-19-12-23648-806,0,1,1
ME-19-12-23749-811,1,1,1
ME-19-12-32339-326,1,1,1
ME-19-12-40413-493,1,1,1
ME-19-12-40815-665,1,0,0
ME-19-12-48783-222,1,1,1
ME-19-12-61299-26,1,0,0
ME-19-12-68368-466,1,1,1
ME-20-01-1676-55,1,1,1
ME-20-01-17935-7,1,1,1
ME-20-01-4133-740,1,1,1
ME-20-01-4664-766,1,1,1
ME-20-01-54764-26,0,1,1
ME-20-01-58511-779,1,1,1
ME-20-01-58701-928,0,1,1
ME-20-01-62688-591,1,1,1
ME-20-02-15744-900,0,1,1
ME-20-02-16370-29,1,1,1
ME-20-02-20425-98,1,1,1
ME-20-02-20477-665,1,1,1
ME-20-02-23782-495,1,1,1
ME-20-02-47048-447,1,0,1
ME-20-02-53498-268,0,1,1
ME-20-02-55054-853,1,1,1
ME-20-02-5511-332,1,1,1
ME-20-02-55185-425,1,1,1
ME-20-03-11843-307,1,1,1
ME-20-03-27050-422,1,1,1
ME-20-03-30575-469,0,1,0
ME-20-03-33920-431,1,0,0
ME-20-03-34084-22,0,0,0
ME-20-03-39345-429,0,1,1
ME-20-03-41694-630,1,1,1
ME-20-03-48867-166,0,0,1
ME-20-03-50334-175,1,1,1
ME-20-03-5186-33,1,0,0
ME-20-03-52256-215,1,1,1
ME-20-03-52515-870,1,1,1
ME-20-04-12376-11,1,0,0
ME-20-04-14593-390,1,1,1
ME-20-04-21696-44,0,0,0
ME-20-04-24896-480,1,1,1
ME-20-04-38687-360,1,1,1
ME-20-04-7626-314,0,1,1
ME-20-05-10686-149,0,1,1
ME-20-05-12791-44,1,1,1
ME-20-05-17277-595,1,0,1
ME-20-05-33131-899,0,0,1
ME-20-05-34579-981,1,1,1
ME-20-05-44381-811,1,1,1
ME-20-05-51473-959,1,1,1
ME-20-05-54083-37,1,1,1
ME-20-05-57996-351,1,1,1
ME-20-05-61106-33,0,0,0
ME-20-05-61158-999,1,1,1
ME-20-05-62447-131,1,0,0
ME-20-05-66319-589,1,1,1
ME-20-05-66430-436,1,1,1
ME-20-05-66542-944,0,0,1
ME-20-05-7597-647,1,1,1
ME-20-06-10300-834,0,1,1
ME-20-06-10740-11,1,1,1
ME-20-06-10896-85,1,1,1
ME-20-06-11042-855,1,1,1
ME-20-06-12035-341,1,1,1
ME-20-06-13225-904,1,0,1
ME-20-06-14479-682,1,1,1
ME-20-06-30391-38,1,1,1
ME-20-06-32581-715,1,1,1
ME-20-06-44862-677,1,1,1
ME-20-06-49705-266,1,1,1
ME-20-06-52416-518,1,1,1
ME-20-06-56108-44,1,0,0
ME-20-06-62238-86,1,1,1
ME-20-06-962-520,1,1,1
ME-20-07-28100-387,1,1,1
ME-20-07-28148-115,1,1,1
ME-20-07-29529-567,1,1,1
ME-20-07-3429-104,1,1,1
ME-20-07-36909-105,1,1,1
ME-20-07-37047-781,1,1,1
ME-20-07-37175-729,1,1,1
ME-20-07-39500-753,1,1,1
ME-20-07-49294-838,1,1,1
ME-20-07-56363-18,1,1,1
ME-20-07-60084-658,1,1,1
ME-20-07-68389-733,1,1,1
ME-20-07-68697-134,1,1,1
ME-20-07-68763-740,1,1,1
ME-20-07-69476-222,1,1,0
ME-20-07-7133-855,1,1,1
ME-20-08-12520-979,1,1,1
ME-20-08-28518-732,1,1,1
ME-20-08-30340-900,1,1,1
ME-20-08-43009-796,1,1,1
ME-20-08-43245-336,1,1,1
ME-20-08-51183-265,1,1,1
ME-20-08-53612-156,1,1,1
ME-20-08-7049-856,1,1,1
ME-20-09-13491-11,1,1,1
ME-20-09-20451-872,1,1,1
ME-20-09-25017-699,1,0,0
ME-20-09-3002-85,1,1,1
ME-20-09-42324-627,1,1,1
ME-20-09-43957-910,1,1,1
