verdict,text,part,label,title_results,text_results,text_and_title_results,whole_case_results
ME-12-09-28180-412,"מנגד, טען הסניגור כי לנאשם זכות לקבל את יומו בבית המשפט וניהול משפטו הוליד בסופו של דבר זיכוי מעבירה של הסתייעות ברכב לביצוע פשע. כן הדגיש כי בית המשפט הכריע לטובת הנאשם בהתייחס למספר נסיבות עובדתיות והדבר ממעט מהחומרה שיוחסה למעשים בכתב האישום המתוקן. כך, בין היתר, ציין לקולה את העובדה שאין מדובר במספר הזדמנויות בהן פעל הנאשם בניגוד לחוק וכי הסמים בסופו של דבר אינם שייכים לנאשם עצמו.",ראיות וטענות לעונש ,טיעוני הצדדים,ראיות לעונש,דיון והכרעה,טיעוני הצדדים,טיעוני הצדדים
ME-12-09-28180-412,"הסניגור הטעים כי הנאשם לא היה הבעלים של הסם ואף לא שלט במערך הפצתו, אלא היווה אך כחוליה אחת בשרשרת הפצת הסם. בהתייחס לנסיבותיו האישיות ציין הסניגור את עברו הנקי של הנאשם, את ההודאה בפני שירות המבחן עם לקיחת האחריות, את תחושת השבר הקשה שמלווה אותו מאז האירוע כמפורט בתסקיר ואת תפקודו החיובי בבית הסוהר. כן הזכיר כי הנאשם שוהה במעצר תקופה ארוכה המתקרבת ל-20 חודשים, תקופה בה נותק ממשפחתו ומבתו הקטנה. בשל כל אלה, עתר לנהוג בו במידת הרחמים.",ראיות וטענות לעונש ,טיעוני הצדדים,ראיות לעונש,דיון והכרעה,טיעוני הצדדים,טיעוני הצדדים
ME-12-09-28180-412,זכות המילה האחרונה ניתנה לנאשם. הוא שב והביע חרטה וכאב על המחירים המשפחתיים שנאלץ לשלם כתוצאה מהאירוע. הוא תיאר את הקושי המלווה אותו והבטיח שלא לחזור שוב על מעשים אלה.,ראיות וטענות לעונש ,טיעוני הצדדים,ראיות לעונש,דיון והכרעה,טיעוני הצדדים,טיעוני הצדדים
ME-12-09-28180-412,"העבירה של החזקת סם שלא לצריכה עצמית בלבד היא עבירה חמורה שהעונש המקסימאלי בגינה הוא 20 שנות מאסר, וזאת לא בכדי, שהרי עבירה זו כרוכה בפגיעה בציבור רחב, במיוחד כאשר מדובר בכמות גדולה של סם כבמקרה שלפנינו.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"אין צורך להכביר מילים על חומרת העבירה בה הורשע הנאשם ועל התוצאות ההרסניות הגלומות בעיסוק בהפצת סמים מסוכנים. בתי המשפט התייחסו לא פעם אל החומרה שיש לראות בעבירה זו, הפוגעת באורח אנוש באושיות החברה ומכלה בה כל חלקה טובה. כן הדגישו את החשיבות לביעור התופעה, באמצעות ענישה מחמירה ועל הצורך להכות בכל אחת מחוליות הפצת הסם תהא אשר תהא הפונקציה אותה היא ממלאת בשרשרת. כל שכן כאשר מדובר בכמות כה גדולה של סמים מסוכנים. בהקשר זה נכתב כך: ""אין מנוס מהכבדת היד על המחזיקים סמים שלא לצריכה עצמית, שכל בר דעת מבין כי נועדו לצריכת הזולת, קרי, להוספת שמן על מדורת הסמים אשר להבותיה אופפות רבים וטובים, או רבים שהיו טובים..."" (ע""פ 1345/08 איסטחרוב נ' מדינת ישראל, מיום 18.5.09).",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"לעניין הערכים המוגנים, רבות נכתב אודות הנזק שנגרם לחברה מהשימוש בסמים, החל מנזק ישיר למשתמש, דרך הנזק העקיף לחברה בשיקום הנפגעים וכלה בנזקים הנגרמים על ידי צרכני הסמים, אשר נאלצים, לשם מימון הסם, לבצע עבירות שונות, קלות וחמורות, הפוגעות בציבור, ברכושו ובמגוון רחב של ערכים מוגנים.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"יבואני הסמים וסוחריו המרכזיים הם אלו שיוזמים ומניעים את התהליך. אולם תפקיד חשוב וממשי בפגיעה בערכים המוגנים מסור גם לכל יתר חברי החוליות המרכיבות את השרשרת, מגדול ועד קטן. שכן, ללא חוליות-הביניים המרכיבות את השרשרת מתקשים סוחרי הסמים לבצע את מעלליהם. מכאן החובה להיאבק בכל אחת מהחוליות ולהוביל לניתוק השרשרת ולמנוע את השלמת הביצוע. ( ראו ע""פ 6990/13 מדינת ישראל נ' זועבי ואח', מיום 24.2.14).",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"צודק התובע, שאין לזלזל בתפקידו של ""אפסנאי בכמויות הסיטונאיות, הלוקח על עצמו את הסיכון המשפטי בתפיסת הסם, בין שלב היבוא לשלב השיווק. הרי כך מאפשר הוא את הסחר, וכך מגן הוא בהתנהגותו על יתר חברי שרשרת ההפצה. אחריות רבה הופקדה בידי הנאשם, על ידי הבעלים של הסם, ואם קטון הנאשם בעיניו, אין מעשהו זניח כלל וכלל בעיני בית המשפט.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"נסיבות ביצוע העבירה שביצע הנאשם הן חמורות מאוד. עסקינן בסם מסוכן מסוג חשיש בכמות עצומה ואף מסחרית המספיקה לייצור אלפי מנות ואף יותר מכך. מעבר לכך, נראה כי הנאשם ביצע המעשה למען בצע כסף, תוך התעלמות מהנזק הרחב הנגרם לציבור, והתעלמות מעמדת הרשויות המוסמכות אודות חומרת המעשה. עם זאת, לעניין סוג הסם, יש לקחת בחשבון שמדובר בסם מסוכן בהחלט, אך לא בסמים מהסוגים המסוכנים ביותר.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"באשר למדיניות הענישה הנוהגת, ציינו הצדדים כי לא עלה בידיהם לאתר פסיקה הדומה למקרה דנן, ממנה ניתן לגזור מתחמי ענישה בעבירה של החזקת סם שלא לצריכה עצמית בנסיבות כאלה. עם זאת, התובע הפנה למספר פסקי דין העוסקים בענישה בעבירות שונות במידת מה בניסיון להקיש. כך, בין היתר, הפנה לע""פ 9210/11 שי מגירה נ' מדינת ישראל, מיום 19.11.12, בו נקבע כי עונש של 48 חודשי מאסר בפועל שנגזרו על ידי בית המשפט המחוזי בגין החזקת סם שלא לצריכה עצמית מסוג חשיש בכמות של 8 ק""ג, בגין עסקה אחרת בסם ושיבוש מהלכי משפט – אינו חורג באורח קיצוני ממדיניות הענישה הראויה. שם מדובר היה במי שיש לו עבר פלילי רחוק אך הודה במסגרת הסדר. המדובר בכמות סם הפחותה באופן משמעותי מענייננו של הנאשם דנן.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"כן הפנה לע""פ 7044/11 עבדאללה עבד נ' מדינת ישראל, מיום 7.6.12 שם נדחה ערעורם של המערערים שהורשעו בעבירות הסתננות וייבוא סם מסוכן לישראל מסוג קנביס בצוותא חדא עם נאשמים נוספים. הבגירים שם אשר נדונו לשמונה שנות מאסר בפועל, אם כי עונשם של הקטינים הוקל מ- 6 שנות מאסר ל- 4. עם זאת, בית המשפט העליון לקח בחשבון כי מדובר היה בקשר רחב בו ערבו גם קטינים. מספק הדין של בית המשפט המחוזי שם עולה כי מדובר היה בכמות של כ- 80 ק""ג. אותו מקרה חמור משמעותית מענייננו, בהיותו עוסק במעשה יבוא תוך הסתננות, וזאת מעבר לנסיבות המחמירות האחרות שפורטו כאמור. גם בת""פ 9281-09-10 מדינת ישראל נ' ג'ומעה, מיום 26.4.11, דובר על נאשמים שהודו במסגרת הסדר טיעון בגין עבירת הסתננות וייבוא סם מסוכן בכמות של 25 ק""ג, ונדונו ל-54 חודשי מאסר בפועל. בשני המקרים האמורים, לא היה לנאשמים עבר פלילי.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"התובע הפנה גם לת""פ 33848-01-12 מדינת ישראל נ' אלחמידי, מיום 24.10.12, שם נדון הנאשם במסגרת הסדר טיעון שכלל הסכמה עונשית ל-32 חודשי מאסר בפועל בגין החזקת 24 ק""ג חשיש בתוך שק גדול המחולק לאריזות, הסתייעות ברכב והנהיגה ללא רישיון. בעניין זה נקבע כי, כאשר מדובר בכמות כה גדולה מתחם העונש הראוי יכול להגיע למספר שנים בטווח העליון וככל הנראה שלא יפחת בהרבה מהעונש המוסכם בין הצדדים (דהיינו 32 חודשי מאסר). בשונה מענייננו הרי שמדובר שם בהסדר טיעון בגין כשליש מהכמות המיוחסת לנאשם דנן.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"נוכח האמור, בהתחשב במדיניות הענישה הנהוגה, ככל שניתן לשרטטה, בערכים המוגנים שנפגעו, בנסיבות ביצוע העבירה, הכוללות את חלקו של הנאשם בשרשרת הפצת הסם ובעיקר את כמות הסם הנכבדה שהחזיק ברשותו, אני קובע כי מתחם הענישה הראוי ינוע בין 3 לבין 8 שנות מאסר בפועל.",קביעת המתחם ,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"נסיבותיו האישיות של הנאשם, שאינן קשורות בביצוע העבירה, מטות את הכף לקולה ומחייבות להטיל עונש שהוא פחות מאמצעו של מתחם הענישה. ראש וראשון מדובר בהסתבכות ראשונה ויחידה של הנאשם עם החוק. עברו נקי, וזו לו מעידה ראשונה וממילא מאסר ראשון. כמו כן ראוי ליתן משקל מסוים לנסיבותיו האישיות והמשפחתיות של הנאשם. הנאשם, בטרם ביצוע העבירה, ניהל אורח חיים נורמטיבי, חיי עבודה וחיי משפחה תקינים, שנגדעו בעקבות מעצרו שנמשך מזה כ-20 חודשים. נראה, כי ההליך המשפטי גרם לשבר בחייו והדברים באים לידי ביטוי בדברי אביו ובתסקיר שירות המבחן. עוצמת ההלם מן המעצר אף באה לידי ביטוי בשיחותיו עם המדובב, כעולה מהכרעת הדין",ענישה בתוך המתחם,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"צודק הסנגור שאין לזקוף לחובת הנאשם את ניהול המשפט. אין ניהול המשפט מהווה נסיבה לחומרה. מעבר לכך, הנאשם הורשע בנסיבות מרוככות מעט מהנסיבות שיוחסו לו בכתב האישום. יחד עם זאת, לא מתקיימת אצל הנאשם הנסיבה המקלה של הודיה כנה מתחילת הדרך, החוסכת משאבים רבים לבית המשפט, לתביעה ולעדים. שכן, הנאשם לא הודה בפתח המשפט בעובדות בהן הורשע, אלא הכחיש הכול. הודייתו לא באה אלא לאחר הכרעת הדין, בשיחותיו עם שירות המבחן. יש זכור כי מרבית התקדימים לעניין הענישה מתייחסים למי שהודה בכתב האישום. שכן הודיה כזו, עם או בלי הסדר טיעון, יכולה להביא להפחתה משמעותית מאוד בעונש. בדרך כלל, לא ייגזר עונש המתקרב לצד התחתון של מתחם הענישה אלא על מי, שבנוסף לנתונים אישיים טובים, גם הודה בתחילת המשפט. הרף התחתון עצמו שמור למקרים המיוחדים, בדרך כלל רק למי שנתוניו טובים, הודה בשלבים מוקדמים וגם מתקיימים בו שיקולים נוספים להקל כגון נסיבות בריאות או משפחה חריגות.",ענישה בתוך המתחם,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"למרות כל האמור, יש מקום ליתן משקל מסוים לעצם ההודיה של הנאשם בפני שירות המבחן, והחרטה שהביע בפני השירות ובפני בית המשפט בדבריו האחרונים לעונש.",ענישה בתוך המתחם,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"יש לשקול גם את עמדת שירות המבחן לגופו של עניין, אשר התרשם כי קיימת לגבי הנאשם רמת סיכון להתנהגות עבריינית חוזרת והמליץ, בסופו של דבר, על עונש מאסר מרתיע. ראוי להשית על הנאשם מאסר מותנה משמעותי, שישמש עבורו גורם מרתיע, לבל ישוב לבצע עבירות דומות בעתיד.",ענישה בתוך המתחם,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"אני דן את הנאשם ל- 56  חודשי מאסר בפועל, אשר יחושבו מיום מעצרו של הנאשם, יום 30.8.12.",התוצאה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה
ME-12-09-28180-412,"כמו כן אני משית על הנאשם שנה אחת מאסר על תנאי, למשך שלוש שנים מיום שחרורו מהמאסר, שלא יעבור עבירות מסוג פשע על פקודת הסמים המסוכנים.",התוצאה,דיון והכרעה,דיון והכרעה,דיון והכרעה,דיון והכרעה,מידע אחר
ME-13-04-35007-454,"בשם הנאשם: בעצמו וע""י ב""כ עו""ד רוני נוג'ידאת","נוכחים: בשם המאשימה: עו""ד אור לרנר",מידע אחר,מידע אחר,מידע אחר,מידע אחר,מידע אחר
ME-13-04-35007-454,"חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב)","נוכחים: בשם המאשימה: עו""ד אור לרנר",מידע אחר,מידע אחר,מידע אחר,מידע אחר,מידע אחר
ME-13-04-35007-454,"כנגד הנאשם הוגש לבית משפט זה כתב אישום, בו יוחסו לו במקור העבירות שעניינן, נשיאת נשק שלא כדין, החזקת נשק שלא כדין וירי באזור מגורים.",מבוא:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"תחילה, כפר הנאשם במיוחס לו בכתב האישום.",מבוא:,עובדות המקרה,עובדות המקרה,טיעוני הצדדים,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"בדיון מיום 18/11/13 ולאחר שהוחל בשמיעת ראיות, הגיעו הצדדים להסדר טיעון ולפיו, הנאשם יחזור בו מכפירתו, כתב האישום יתוקן, הנאשם יודה בעובדות כתב האישום המתוקן ויורשע על פי הודאתו. עוד הוסכם, כי בטרם ישמעו טיעוני הצדדים לעונש ואף מפאת גילו של הנאשם במועד ביצוע העבירות, יתקבל תסקיר מאת שירות המבחן בעניינו של הנאשם ולאחר מכן, הצדדים יטענו באופן חופשי לעונש באשר לכל רכיבי הענישה. במעמד זה הבהירה המאשימה, כי היא תעתור להשית על הנאשם עונש מאסר בפועל בהתאם לרמת הענישה הנהוגה, בעוד שהסניגור יטען באופן חופשי לעונש (הכל ביחד יקרא להלן: ""הסדר הטיעון"").",מבוא:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"בהתאם להסדר הטיעון, הנאשם חזר בו מכפירתו, כתב האישום תוקן, התקבל וסומן ב/1 (להלן: ""כתב האישום""). הנאשם הודה בעובדות כתב האישום המתוקן והורשע על פי הודאתו בעבירות כדלקמן:",מבוא:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"נשיאת נשק שלא כדין - עבירה לפי סעיף 144(ב) רישא + סיפא לחוק העונשין, התשל""ז - 1977 (להלן: ""חוק העונשין"").",מבוא:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,החזקת נשק שלא כדין - עבירה לפי סעיף 144(א) רישא + סיפא לחוק העונשין.,מבוא:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"כן הוריתי על הגשת תסקיר מאת שירות המבחן בעניינו של הנאשם. תסקיר, כאמור, כמו גם",מבוא:,עובדות המקרה,עובדות המקרה,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-13-04-35007-454,"תסקירים משלימים, מונחים בפני.",מבוא:,עובדות המקרה,עובדות המקרה,תסקיר שירות מבחן,תסקיר שירות מבחן,תסקיר שירות מבחן
ME-13-04-35007-454,"מעובדות כתב האישום המתוקן עולה, כי בזמן הרלוונטי לכתב האישום, שרר סכסוך בכפר דבוריה, בו היו מעורבים הנאשם ואחרים (להלן: ""הסכסוך""). במסגרת הסכסוך אירעו מספר אירועי אלימות בכפר במהלך הימים הראשונים של חודש אפריל 2013.",עובדות כתב האישום המתוקן:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"עוד עולה, כי במועד אשר אינו ידוע למאשימה, הצטייד הנאשם בנשק מסוג אקדח (להלן: ""הנשק""). ביום 6/4/13, בשעה 16:30 או בסמוך לכך, על רקע האירועים הקשורים לסכסוך, הגיע הנאשם למרכז הכפר כשהוא נושא ומוביל עמו נשק כשהוא טעון, זאת כאשר אחרים, המעורבים בסכסוך, נמצאים בקרבת מקום ובמטרה להפחידם. לאחר מכן, נמלט הנאשם במהירות מהמקום.",עובדות כתב האישום המתוקן:,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה,עובדות המקרה
ME-13-04-35007-454,"בדיון מיום 10/11/14 הוגשו טיעוני המאשימה לעונש בכתב. במסגרת השלמת טיעוניה בעל פה, הדגישה המאשימה את העבירות בהן הורשע הנאשם על פי הודאתו ואת המעשים שביצע, כעולה מעובדות כתב האישום המתוקן. בהקשר זה הדגישה ב""כ המאשימה, כי הנאשם הוביל והחזיק בנשק בצהרי היום, באמצע כפר דבוריה, תוך שהוא מתעמת עם קבוצה שאיתה הוא מסוכסך וכי אין בנמצא כל אינדיקציה, כי התקיימה הידברות עם הקבוצה, או כי בין הצדדים נכרת הסכם ""סולחה"". כן הדגישה, כי הפסיקה בעבירות בנשק ברורה וחד משמעית ועיקרה מאסר מאחורי סורג ובריח.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"ב""כ המאשימה הפנתה לתסקירי שירות המבחן שהוגשו בעניינו של הנאשם ולעולה מהם, כמפורט בטיעוניה שם. בהקשר זה הדגישה המאשימה, כי לדידה, די היה בתסקיר הראשון שהוגש בעניינו של הנאשם כדי להבין לאן פנינו מועדות וכי לא זהו הזמן להתחיל הליך טיפולי אשר נדחה שוב ושוב, על מנת לאפשר לנאשם להירתם להליך כזה. עוד ציינה, כי גם עתה, לאחר יותר ממחצית השנה, הנאשם אך בתחילת דרכו של ההליך ועדיין מונע ממניעים חיצוניים. המאשימה סבורה עוד, כי אמנם אין עסקינן בתסקיר שלילי, אך מאידך, אינו חיובי מספיק בנסיבות העניין. אחיזת הנאשם בהתנהלות המסכנת את הציבור, עדיין שרירה וקיימת.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"עוד טענה המאשימה, כי אם יחליט בית המשפט לאמץ את המלצות התסקיר, הרי שהוא יעדיף את האינטרס השיקומי הלא וודאי של הנאשם, על פני האינטרס הציבורי.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"בנסיבות אלו, לאור חומרת העבירות, הפסיקה החד משמעית בעבירות אלו ונסיבותיו האישיות של הנאשם אשר אינן חריגות ואינן מצדיקות סטייה ממתחם הענישה המקובל בעבירות כגון דא, עותרת המאשימה להשית על הנאשם עונש מאסר בפועל מאחורי סורג ובריח, מאסר מותנה וחיובו בתשלום קנס כספי שלא יפחת מ - 10,000 ₪.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"במסגרת טיעוניה הכתובים, הפנתה המאשימה להוראות תיקון 113 לחוק העונשין. עוד טענה, כי הערך החברתי המוגן בעבירות בנשק הינו ביטחון הציבור. בהקשר זה הדגישה, כי נשק חם הינו מסוכן וכי החזקתו, נשיאתו והובלתו, צפויים להוביל לשימוש בו לביצוע עבירות פליליות או אידיאולוגיות ואף לפגיעה בגוף ובנפש. בהקשר זה הפנתה המאשימה לפסיקה רלוונטית.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"עוד טענה המאשימה, כי קשה לאמוד את מידת הפגיעה בערך המוגן שעה שעסקינן בביטחון הציבור, או באינטרס ציבורי דומה שכן, בעוד שבמקרה של פגיעה בגוף או ברכוש, הפגיעה היא קונקרטית, הרי שקשה ואף בלתי אפשרי לאמוד במדויק את הפגיעה בביטחון הציבור, בעבירות נשק. עם זאת, הפגיעה בציבור הנובעת מזמינותו של נשק חם המוחזק בידי אנשים בבתיהם, או נישא על ידם ברחובה של עיר, הייתה משמעותית וחמורה. תופעה זו, כך לדידה של המאשימה, הינה הקרקע המאפשרת שימוש בנשק חם לביצוע  עבירות ופגיעה בגוף ובנפש.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
ME-13-04-35007-454,"באשר לנסיבות הקשורות בביצוע העבירות ציינה המאשימה, כי הנאשם לא ""נקלע"" לאירוע בו החזיק בנשק באופן רגעי וספונטני. הנשק הגיע לידי הנאשם והוא בחר לשאת אותו ברחבי הכפר במהלך סכסוך חמולות, כשהוא טעון. מעשה כזה, כך לטענת המאשימה, הינו מעשה מתוכן וכי הנאשם אף מודה, כי הייתה בהחזקת הנשק הטעון כוונה להפחיד ואף ציין כיצד התכוון להפחיד את הזולת כשהנשק טעון.",טיעוני המאשימה לעונש:,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים,טיעוני הצדדים
